# z LM (E,E) abs(P1) alpha
0.000000 0.000309 1.000000 0.999964 -0.000000
1.000000 0.001234 1.000000 0.999858 -0.000001
2.000000 0.002777 1.000000 0.999680 -0.000001
3.000000 0.004933 1.000001 0.999432 -0.000003
4.000000 0.007703 1.000001 0.999114 -0.000004
5.000000 0.011083 1.000001 0.998725 -0.000006
6.000000 0.015070 1.000002 0.998267 -0.000008
7.000000 0.019660 1.000003 0.997739 -0.000011
8.000000 0.024849 1.000003 0.997143 -0.000014
9.000000 0.030633 1.000004 0.996480 -0.000017
10.000000 0.037005 1.000005 0.995749 -0.000020
11.000000 0.043960 1.000006 0.994952 -0.000024
12.000000 0.051492 1.000007 0.994089 -0.000028
13.000000 0.059595 1.000008 0.993162 -0.000033
14.000000 0.068260 1.000009 0.992172 -0.000038
15.000000 0.077480 1.000010 0.991119 -0.000043
16.000000 0.087247 1.000011 0.990006 -0.000048
17.000000 0.097553 1.000012 0.988832 -0.000054
18.000000 0.108389 1.000014 0.987599 -0.000060
19.000000 0.119745 1.000015 0.986308 -0.000066
20.000000 0.131613 1.000017 0.984962 -0.000073
21.000000 0.143982 1.000019 0.983560 -0.000080
22.000000 0.156842 1.000020 0.982105 -0.000088
23.000000 0.170184 1.000022 0.980598 -0.000095
24.000000 0.183996 1.000024 0.979039 -0.000103
25.000000 0.198268 1.000026 0.977432 -0.000112
26.000000 0.212988 1.000028 0.975777 -0.000120
27.000000 0.228147 1.000030 0.974076 -0.000129
28.000000 0.243732 1.000032 0.972329 -0.000138
29.000000 0.259732 1.000034 0.970540 -0.000148
30.000000 0.276135 1.000036 0.968709 -0.000158
31.000000 0.292931 1.000039 0.966837 -0.000168
32.000000 0.310108 1.000041 0.964927 -0.000179
33.000000 0.327654 1.000044 0.962980 -0.000189
34.000000 0.345557 1.000046 0.960997 -0.000201
35.000000 0.363806 1.000049 0.958980 -0.000212
36.000000 0.382389 1.000052 0.956931 -0.000224
37.000000 0.401294 1.000054 0.954850 -0.000236
38.000000 0.420511 1.000057 0.952740 -0.000248
39.000000 0.440028 1.000060 0.950602 -0.000261
40.000000 0.459833 1.000063 0.948437 -0.000274
41.000000 0.479915 1.000066 0.946246 -0.000287
42.000000 0.500262 1.000069 0.944032 -0.000301
43.000000 0.520865 1.000072 0.941796 -0.000314
44.000000 0.541712 1.000076 0.939538 -0.000329
45.000000 0.562791 1.000079 0.937261 -0.000343
46.000000 0.584093 1.000082 0.934965 -0.000358
47.000000 0.605608 1.000086 0.932652 -0.000373
48.000000 0.627324 1.000089 0.930323 -0.000388
49.000000 0.649231 1.000093 0.927980 -0.000404
50.000000 0.671320 1.000097 0.925623 -0.000420
51.000000 0.693581 1.000100 0.923253 -0.000436
52.000000 0.716004 1.000104 0.920873 -0.000452
53.000000 0.738580 1.000108 0.918483 -0.000469
54.000000 0.761299 1.000112 0.916083 -0.000486
55.000000 0.784153 1.000116 0.913676 -0.000503
56.000000 0.807133 1.000120 0.911262 -0.000521
57.000000 0.830230 1.000124 0.908842 -0.000539
58.000000 0.853435 1.000128 0.906417 -0.000557
59.000000 0.876741 1.000133 0.903989 -0.000575
60.000000 0.900139 1.000137 0.901557 -0.000594
61.000000 0.923622 1.000141 0.899123 -0.000613
62.000000 0.947182 1.000146 0.896687 -0.000632
63.000000 0.970812 1.000150 0.894251 -0.000652
64.000000 0.994504 1.000155 0.891815 -0.000672
65.000000 1.018251 1.000159 0.889380 -0.000692
66.000000 1.042047 1.000164 0.886947 -0.000712
67.000000 1.065885 1.000169 0.884516 -0.000732
68.000000 1.089758 1.000173 0.882088 -0.000753
69.000000 1.113661 1.000178 0.879664 -0.000774
70.000000 1.137587 1.000183 0.877245 -0.000796
71.000000 1.161530 1.000188 0.874830 -0.000817
72.000000 1.185485 1.000193 0.872420 -0.000839
73.000000 1.209446 1.000198 0.870017 -0.000861
74.000000 1.233408 1.000203 0.867620 -0.000883
75.000000 1.257365 1.000209 0.865230 -0.000906
76.000000 1.281314 1.000214 0.862848 -0.000928
77.000000 1.305248 1.000219 0.860474 -0.000951
78.000000 1.329163 1.000225 0.858108 -0.000975
79.000000 1.353056 1.000230 0.855751 -0.000998
80.000000 1.376920 1.000235 0.853403 -0.001022
81.000000 1.400753 1.000241 0.851064 -0.001046
82.000000 1.424550 1.000246 0.848736 -0.001070
83.000000 1.448308 1.000252 0.846417 -0.001094
84.000000 1.472022 1.000258 0.844110 -0.001119
85.000000 1.495688 1.000263 0.841813 -0.001144
86.000000 1.519305 1.000269 0.839527 -0.001169
87.000000 1.542867 1.000275 0.837253 -0.001194
88.000000 1.566373 1.000281 0.834990 -0.001220
89.000000 1.589818 1.000287 0.832739 -0.001245
90.000000 1.613200 1.000293 0.830501 -0.001271
91.000000 1.636516 1.000299 0.828274 -0.001297
92.000000 1.659763 1.000305 0.826061 -0.001324
93.000000 1.682939 1.000311 0.823859 -0.001350
94.000000 1.706040 1.000317 0.821671 -0.001377
95.000000 1.729066 1.000323 0.819496 -0.001404
96.000000 1.752013 1.000330 0.817334 -0.001431
97.000000 1.774878 1.000336 0.815185 -0.001458
98.000000 1.797661 1.000342 0.813049 -0.001485
99.000000 1.820359 1.000349 0.810928 -0.001513
100.000000 1.842969 1.000355 0.808819 -0.001541
101.000000 1.865491 1.000361 0.806725 -0.001569
102.000000 1.887922 1.000368 0.804644 -0.001597
103.000000 1.910261 1.000374 0.802577 -0.001625
104.000000 1.932505 1.000381 0.800525 -0.001654
105.000000 1.954654 1.000388 0.798486 -0.001683
106.000000 1.976706 1.000394 0.796461 -0.001711
107.000000 1.998660 1.000401 0.794451 -0.001741
108.000000 2.020514 1.000408 0.792454 -0.001770
109.000000 2.042267 1.000414 0.790472 -0.001799
110.000000 2.063917 1.000421 0.788504 -0.001828
111.000000 2.085464 1.000428 0.786551 -0.001858
112.000000 2.106907 1.000435 0.784611 -0.001888
113.000000 2.128244 1.000442 0.782686 -0.001918
114.000000 2.149475 1.000449 0.780776 -0.001948
115.000000 2.170598 1.000456 0.778879 -0.001978
116.000000 2.191613 1.000463 0.776997 -0.002009
117.000000 2.212518 1.000470 0.775129 -0.002039
118.000000 2.233314 1.000477 0.773276 -0.002070
119.000000 2.254000 1.000484 0.771436 -0.002100
120.000000 2.274574 1.000491 0.769611 -0.002131
121.000000 2.295036 1.000498 0.767800 -0.002162
122.000000 2.315385 1.000505 0.766003 -0.002193
123.000000 2.335622 1.000512 0.764221 -0.002225
124.000000 2.355745 1.000520 0.762452 -0.002256
125.000000 2.375753 1.000527 0.760698 -0.002287
126.000000 2.395648 1.000534 0.758958 -0.002319
127.000000 2.415427 1.000541 0.757231 -0.002351
128.000000 2.435091 1.000549 0.755519 -0.002382
129.000000 2.454639 1.000556 0.753821 -0.002414
130.000000 2.474071 1.000563 0.752136 -0.002446
131.000000 2.493387 1.000571 0.750465 -0.002478
132.000000 2.512586 1.000578 0.748808 -0.002510
133.000000 2.531668 1.000586 0.747165 -0.002543
134.000000 2.550634 1.000593 0.745535 -0.002575
135.000000 2.569482 1.000601 0.743919 -0.002607
136.000000 2.588213 1.000608 0.742317 -0.002640
137.000000 2.606826 1.000616 0.740728 -0.002672
138.000000 2.625321 1.000623 0.739152 -0.002705
139.000000 2.643699 1.000631 0.737590 -0.002738
140.000000 2.661959 1.000638 0.736041 -0.002770
141.000000 2.680101 1.000646 0.734505 -0.002803
142.000000 2.698125 1.000653 0.732983 -0.002836
143.000000 2.716031 1.000661 0.731473 -0.002869
144.000000 2.733819 1.000668 0.729977 -0.002902
145.000000 2.751489 1.000676 0.728493 -0.002935
146.000000 2.769041 1.000684 0.727023 -0.002968
147.000000 2.786475 1.000691 0.725565 -0.003001
148.000000 2.803791 1.000699 0.724120 -0.003034
149.000000 2.820989 1.000707 0.722687 -0.003068
150.000000 2.838070 1.000714 0.721268 -0.003101
151.000000 2.855033 1.000722 0.719860 -0.003134
152.000000 2.871879 1.000730 0.718466 -0.003167
153.000000 2.888607 1.000737 0.717083 -0.003201
154.000000 2.905217 1.000745 0.715713 -0.003234
155.000000 2.921711 1.000753 0.714356 -0.003267
156.000000 2.938087 1.000760 0.713010 -0.003301
157.000000 2.954347 1.000768 0.711677 -0.003334
158.000000 2.970489 1.000776 0.710355 -0.003367
159.000000 2.986516 1.000783 0.709046 -0.003401
160.000000 3.002425 1.000791 0.707748 -0.003434
161.000000 3.018219 1.000799 0.706462 -0.003467
162.000000 3.033897 1.000806 0.705188 -0.003501
163.000000 3.049458 1.000814 0.703926 -0.003534
164.000000 3.064904 1.000822 0.702675 -0.003568
165.000000 3.080235 1.000830 0.701436 -0.003601
166.000000 3.095450 1.000837 0.700209 -0.003634
167.000000 3.110551 1.000845 0.698992 -0.003667
168.000000 3.125537 1.000853 0.697787 -0.003701
169.000000 3.140408 1.000860 0.696594 -0.003734
170.000000 3.155164 1.000868 0.695411 -0.003767
171.000000 3.169807 1.000876 0.694240 -0.003800
172.000000 3.184336 1.000883 0.693080 -0.003833
173.000000 3.198751 1.000891 0.691930 -0.003867
174.000000 3.213053 1.000898 0.690792 -0.003900
175.000000 3.227242 1.000906 0.689665 -0.003933
176.000000 3.241318 1.000914 0.688548 -0.003966
177.000000 3.255282 1.000921 0.687442 -0.003999
178.000000 3.269133 1.000929 0.686346 -0.004031
179.000000 3.282872 1.000936 0.685262 -0.004064
180.000000 3.296499 1.000944 0.684187 -0.004097
181.000000 3.310015 1.000951 0.683124 -0.004130
182.000000 3.323419 1.000959 0.682070 -0.004162
183.000000 3.336712 1.000966 0.681027 -0.004195
184.000000 3.349895 1.000974 0.679994 -0.004227
185.000000 3.362967 1.000981 0.678972 -0.004260
186.000000 3.375929 1.000989 0.677959 -0.004292
187.000000 3.388781 1.000996 0.676957 -0.004324
188.000000 3.401523 1.001004 0.675964 -0.004356
189.000000 3.414156 1.001011 0.674982 -0.004388
190.000000 3.426680 1.001018 0.674009 -0.004420
191.000000 3.439095 1.001026 0.673047 -0.004452
192.000000 3.451401 1.001033 0.672094 -0.004484
193.000000 3.463599 1.001040 0.671151 -0.004515
194.000000 3.475690 1.001048 0.670217 -0.004547
195.000000 3.487672 1.001055 0.669293 -0.004578
196.000000 3.499547 1.001062 0.668379 -0.004610
197.000000 3.511314 1.001069 0.667474 -0.004641
198.000000 3.522975 1.001076 0.666578 -0.004672
199.000000 3.534529 1.001084 0.665692 -0.004703
200.000000 3.545976 1.001091 0.664816 -0.004734
201.000000 3.557318 1.001098 0.663948 -0.004764
202.000000 3.568553 1.001105 0.663090 -0.004795
203.000000 3.579683 1.001112 0.662241 -0.004825
204.000000 3.590707 1.001119 0.661401 -0.004856
205.000000 3.601627 1.001126 0.660570 -0.004886
206.000000 3.612442 1.001133 0.659748 -0.004916
207.000000 3.623152 1.001140 0.658935 -0.004946
208.000000 3.633758 1.001146 0.658131 -0.004976
209.000000 3.644259 1.001153 0.657335 -0.005005
210.000000 3.654657 1.001160 0.656549 -0.005035
211.000000 3.664952 1.001167 0.655771 -0.005064
212.000000 3.675143 1.001173 0.655002 -0.005093
213.000000 3.685231 1.001180 0.654242 -0.005122
214.000000 3.695217 1.001187 0.653490 -0.005151
215.000000 3.705100 1.001193 0.652747 -0.005179
216.000000 3.714880 1.001200 0.652013 -0.005208
217.000000 3.724559 1.001206 0.651286 -0.005236
218.000000 3.734136 1.001213 0.650569 -0.005264
219.000000 3.743611 1.001219 0.649859 -0.005292
220.000000 3.752986 1.001226 0.649158 -0.005320
221.000000 3.762259 1.001232 0.648466 -0.005348
222.000000 3.771431 1.001238 0.647781 -0.005375
223.000000 3.780503 1.001245 0.647105 -0.005402
224.000000 3.789474 1.001251 0.646437 -0.005429
225.000000 3.798345 1.001257 0.645777 -0.005456
226.000000 3.807117 1.001263 0.645125 -0.005483
227.000000 3.815788 1.001269 0.644482 -0.005509
228.000000 3.824361 1.001275 0.643846 -0.005536
229.000000 3.832834 1.001281 0.643218 -0.005562
230.000000 3.841208 1.001287 0.642598 -0.005587
231.000000 3.849484 1.001293 0.641986 -0.005613
232.000000 3.857660 1.001299 0.641382 -0.005638
233.000000 3.865739 1.001305 0.640786 -0.005664
234.000000 3.873719 1.001311 0.640198 -0.005689
235.000000 3.881602 1.001316 0.639617 -0.005713
236.000000 3.889387 1.001322 0.639044 -0.005738
237.000000 3.897074 1.001328 0.638479 -0.005762
238.000000 3.904664 1.001333 0.637921 -0.005786
239.000000 3.912157 1.001339 0.637371 -0.005810
240.000000 3.919553 1.001344 0.636828 -0.005834
241.000000 3.926853 1.001350 0.636293 -0.005857
242.000000 3.934055 1.001355 0.635766 -0.005881
243.000000 3.941162 1.001360 0.635246 -0.005903
244.000000 3.948173 1.001366 0.634733 -0.005926
245.000000 3.955087 1.001371 0.634228 -0.005949
246.000000 3.961906 1.001376 0.633731 -0.005971
247.000000 3.968629 1.001381 0.633240 -0.005993
248.000000 3.975257 1.001386 0.632757 -0.006015
249.000000 3.981790 1.001391 0.632282 -0.006036
250.000000 3.988227 1.001396 0.631813 -0.006057
251.000000 3.994570 1.001401 0.631352 -0.006078
252.000000 4.000818 1.001405 0.630898 -0.006099
253.000000 4.006972 1.001410 0.630451 -0.006120
254.000000 4.013031 1.001415 0.630011 -0.006140
255.000000 4.018996 1.001419 0.629579 -0.006160
256.000000 4.024867 1.001424 0.629154 -0.006179
257.000000 4.030644 1.001428 0.628735 -0.006199
258.000000 4.036327 1.001433 0.628324 -0.006218
259.000000 4.041917 1.001437 0.627920 -0.006237
260.000000 4.047414 1.001441 0.627523 -0.006256
261.000000 4.052817 1.001446 0.627132 -0.006274
262.000000 4.058127 1.001450 0.626749 -0.006292
263.000000 4.063344 1.001454 0.626373 -0.006310
264.000000 4.068468 1.001458 0.626003 -0.006327
265.000000 4.073500 1.001462 0.625641 -0.006345
266.000000 4.078438 1.001466 0.625285 -0.006362
267.000000 4.083285 1.001470 0.624936 -0.006378
268.000000 4.088039 1.001474 0.624594 -0.006395
269.000000 4.092701 1.001477 0.624259 -0.006411
270.000000 4.097271 1.001481 0.623931 -0.006427
271.000000 4.101749 1.001485 0.623609 -0.006442
272.000000 4.106136 1.001488 0.623294 -0.006457
273.000000 4.110430 1.001491 0.622986 -0.006472
274.000000 4.114633 1.001495 0.622685 -0.006487
275.000000 4.118745 1.001498 0.622390 -0.006501
276.000000 4.122765 1.001501 0.622102 -0.006516
277.000000 4.126694 1.001505 0.621821 -0.006529
278.000000 4.130532 1.001508 0.621546 -0.006543
279.000000 4.134279 1.001511 0.621278 -0.006556
280.000000 4.137935 1.001514 0.621017 -0.006569
281.000000 4.141500 1.001517 0.620762 -0.006582
282.000000 4.144975 1.001519 0.620514 -0.006594
283.000000 4.148359 1.001522 0.620272 -0.006606
284.000000 4.151652 1.001525 0.620037 -0.006618
285.000000 4.154855 1.001528 0.619808 -0.006629
286.000000 4.157968 1.001530 0.619586 -0.006640
287.000000 4.160990 1.001533 0.619370 -0.006651
288.000000 4.163922 1.001535 0.619161 -0.006661
289.000000 4.166764 1.001537 0.618959 -0.006671
290.000000 4.169516 1.001540 0.618763 -0.006681
291.000000 4.172178 1.001542 0.618573 -0.006691
292.000000 4.174750 1.001544 0.618390 -0.006700
293.000000 4.177232 1.001546 0.618213 -0.006709
294.000000 4.179625 1.001548 0.618043 -0.006717
295.000000 4.181927 1.001550 0.617879 -0.006726
296.000000 4.184141 1.001552 0.617722 -0.006734
297.000000 4.186264 1.001553 0.617571 -0.006741
298.000000 4.188298 1.001555 0.617426 -0.006749
299.000000 4.190243 1.001557 0.617288 -0.006756
300.000000 4.192098 1.001558 0.617156 -0.006762
301.000000 4.193864 1.001560 0.617031 -0.006769
302.000000 4.195541 1.001561 0.616912 -0.006775
303.000000 4.197128 1.001563 0.616799 -0.006780
304.000000 4.198627 1.001564 0.616692 -0.006786
305.000000 4.200036 1.001565 0.616592 -0.006791
306.000000 4.201356 1.001566 0.616499 -0.006796
307.000000 4.202586 1.001567 0.616411 -0.006800
308.000000 4.203728 1.001568 0.616330 -0.006804
309.000000 4.204781 1.001569 0.616256 -0.006808
310.000000 4.205745 1.001570 0.616187 -0.006811
311.000000 4.206619 1.001570 0.616125 -0.006814
312.000000 4.207405 1.001571 0.616070 -0.006817
313.000000 4.208102 1.001572 0.616020 -0.006820
314.000000 4.208710 1.001572 0.615977 -0.006822
315.000000 4.209229 1.001573 0.615940 -0.006824
316.000000 4.209659 1.001573 0.615910 -0.006825
317.000000 4.210001 1.001573 0.615885 -0.006826
318.000000 4.210253 1.001573 0.615868 -0.006827
319.000000 4.210417 1.001573 0.615856 -0.006828
320.000000 4.210492 1.001574 0.615851 -0.006828
321.000000 4.210478 1.001573 0.615852 -0.006828
322.000000 4.210375 1.001573 0.615859 -0.006827
323.000000 4.210183 1.001573 0.615873 -0.006827
324.000000 4.209902 1.001573 0.615892 -0.006826
325.000000 4.209533 1.001573 0.615919 -0.006824
326.000000 4.209075 1.001572 0.615951 -0.006822
327.000000 4.208528 1.001572 0.615990 -0.006820
328.000000 4.207891 1.001571 0.616035 -0.006818
329.000000 4.207166 1.001571 0.616086 -0.006815
330.000000 4.206353 1.001570 0.616144 -0.006812
331.000000 4.205450 1.001569 0.616208 -0.006809
332.000000 4.204458 1.001568 0.616279 -0.006805
333.000000 4.203377 1.001567 0.616355 -0.006801
334.000000 4.202207 1.001566 0.616438 -0.006797
335.000000 4.200948 1.001565 0.616528 -0.006792
336.000000 4.199600 1.001564 0.616623 -0.006787
337.000000 4.198163 1.001563 0.616725 -0.006782
338.000000 4.196636 1.001562 0.616834 -0.006776
339.000000 4.195021 1.001560 0.616949 -0.006770
340.000000 4.193316 1.001559 0.617070 -0.006764
341.000000 4.191522 1.001557 0.617197 -0.006757
342.000000 4.189638 1.001556 0.617331 -0.006750
343.000000 4.187665 1.001554 0.617471 -0.006743
344.000000 4.185603 1.001552 0.617618 -0.006736
345.000000 4.183451 1.001550 0.617771 -0.006728
346.000000 4.181209 1.001548 0.617930 -0.006720
347.000000 4.178878 1.001547 0.618096 -0.006711
348.000000 4.176457 1.001544 0.618269 -0.006702
349.000000 4.173947 1.001542 0.618447 -0.006693
350.000000 4.171346 1.001540 0.618632 -0.006684
351.000000 4.168656 1.001538 0.618824 -0.006674
352.000000 4.165876 1.001536 0.619022 -0.006664
353.000000 4.163005 1.001533 0.619227 -0.006653
354.000000 4.160045 1.001531 0.619438 -0.006643
355.000000 4.156994 1.001528 0.619655 -0.006632
356.000000 4.153853 1.001526 0.619880 -0.006620
357.000000 4.150622 1.001523 0.620110 -0.006609
358.000000 4.147300 1.001520 0.620347 -0.006597
359.000000 4.143888 1.001517 0.620591 -0.006585
360.000000 4.140385 1.001515 0.620842 -0.006572
361.000000 4.136791 1.001512 0.621098 -0.006559
362.000000 4.133106 1.001509 0.621362 -0.006546
363.000000 4.129331 1.001505 0.621632 -0.006533
364.000000 4.125464 1.001502 0.621909 -0.006519
365.000000 4.121506 1.001499 0.622192 -0.006505
366.000000 4.117457 1.001496 0.622482 -0.006491
367.000000 4.113317 1.001492 0.622779 -0.006476
368.000000 4.109085 1.001489 0.623083 -0.006461
369.000000 4.104762 1.001485 0.623393 -0.006446
370.000000 4.100346 1.001482 0.623710 -0.006431
371.000000 4.095839 1.001478 0.624034 -0.006415
372.000000 4.091241 1.001475 0.624364 -0.006399
373.000000 4.086550 1.001471 0.624701 -0.006382
374.000000 4.081766 1.001467 0.625046 -0.006366
375.000000 4.076891 1.001463 0.625397 -0.006349
376.000000 4.071923 1.001459 0.625754 -0.006332
377.000000 4.066862 1.001455 0.626119 -0.006314
378.000000 4.061709 1.001451 0.626491 -0.006297
