# z LM (E,E) abs(P1) alpha
0.000000 0.000601 1.000000 0.999931 -0.000000
1.000000 0.002404 1.000000 0.999723 -0.000001
2.000000 0.005407 1.000001 0.999378 -0.000002
3.000000 0.009605 1.000001 0.998895 -0.000004
4.000000 0.014992 1.000002 0.998275 -0.000006
5.000000 0.021562 1.000002 0.997521 -0.000009
6.000000 0.029305 1.000003 0.996632 -0.000012
7.000000 0.038212 1.000004 0.995610 -0.000016
8.000000 0.048271 1.000005 0.994458 -0.000020
9.000000 0.059467 1.000006 0.993177 -0.000025
10.000000 0.071787 1.000007 0.991769 -0.000030
11.000000 0.085215 1.000008 0.990237 -0.000035
12.000000 0.099733 1.000010 0.988583 -0.000041
13.000000 0.115324 1.000011 0.986811 -0.000048
14.000000 0.131966 1.000013 0.984922 -0.000055
15.000000 0.149641 1.000014 0.982920 -0.000062
16.000000 0.168325 1.000016 0.980807 -0.000070
17.000000 0.187997 1.000018 0.978589 -0.000079
18.000000 0.208633 1.000020 0.976266 -0.000087
19.000000 0.230208 1.000022 0.973844 -0.000097
20.000000 0.252698 1.000025 0.971326 -0.000107
21.000000 0.276078 1.000027 0.968715 -0.000117
22.000000 0.300321 1.000029 0.966015 -0.000128
23.000000 0.325400 1.000032 0.963230 -0.000139
24.000000 0.351288 1.000035 0.960363 -0.000150
25.000000 0.377959 1.000037 0.957419 -0.000162
26.000000 0.405384 1.000040 0.954401 -0.000175
27.000000 0.433535 1.000043 0.951313 -0.000188
28.000000 0.462386 1.000046 0.948158 -0.000202
29.000000 0.491907 1.000050 0.944941 -0.000216
30.000000 0.522071 1.000053 0.941665 -0.000230
31.000000 0.552850 1.000056 0.938334 -0.000245
32.000000 0.584215 1.000060 0.934952 -0.000260
33.000000 0.616141 1.000064 0.931522 -0.000276
34.000000 0.648598 1.000067 0.928047 -0.000292
35.000000 0.681561 1.000071 0.924532 -0.000309
36.000000 0.715002 1.000075 0.920979 -0.000326
37.000000 0.748894 1.000079 0.917393 -0.000343
38.000000 0.783212 1.000083 0.913775 -0.000361
39.000000 0.817931 1.000088 0.910130 -0.000380
40.000000 0.853025 1.000092 0.906460 -0.000399
41.000000 0.888469 1.000096 0.902769 -0.000418
42.000000 0.924239 1.000101 0.899059 -0.000438
43.000000 0.960312 1.000105 0.895333 -0.000458
44.000000 0.996664 1.000110 0.891593 -0.000478
45.000000 1.033274 1.000115 0.887843 -0.000499
46.000000 1.070120 1.000120 0.884085 -0.000521
47.000000 1.107179 1.000125 0.880321 -0.000543
48.000000 1.144432 1.000130 0.876553 -0.000565
49.000000 1.181858 1.000135 0.872785 -0.000588
50.000000 1.219438 1.000141 0.869017 -0.000611
51.000000 1.257153 1.000146 0.865251 -0.000634
52.000000 1.294986 1.000152 0.861491 -0.000658
53.000000 1.332917 1.000157 0.857737 -0.000683
54.000000 1.370931 1.000163 0.853991 -0.000708
55.000000 1.409011 1.000169 0.850255 -0.000733
56.000000 1.447142 1.000175 0.846531 -0.000758
57.000000 1.485307 1.000181 0.842820 -0.000784
58.000000 1.523493 1.000187 0.839122 -0.000811
59.000000 1.561686 1.000193 0.835441 -0.000838
60.000000 1.599872 1.000199 0.831776 -0.000865
61.000000 1.638039 1.000206 0.828129 -0.000892
62.000000 1.676173 1.000212 0.824501 -0.000920
63.000000 1.714264 1.000219 0.820893 -0.000949
64.000000 1.752301 1.000225 0.817307 -0.000978
65.000000 1.790271 1.000232 0.813741 -0.001007
66.000000 1.828166 1.000239 0.810199 -0.001036
67.000000 1.865976 1.000246 0.806680 -0.001066
68.000000 1.903691 1.000253 0.803185 -0.001096
69.000000 1.941302 1.000260 0.799714 -0.001127
70.000000 1.978801 1.000267 0.796269 -0.001158
71.000000 2.016181 1.000274 0.792850 -0.001189
72.000000 2.053433 1.000281 0.789457 -0.001221
73.000000 2.090551 1.000289 0.786090 -0.001253
74.000000 2.127527 1.000296 0.782751 -0.001286
75.000000 2.164357 1.000304 0.779439 -0.001318
76.000000 2.201033 1.000311 0.776155 -0.001352
77.000000 2.237550 1.000319 0.772899 -0.001385
78.000000 2.273902 1.000327 0.769671 -0.001419
79.000000 2.310085 1.000335 0.766471 -0.001453
80.000000 2.346095 1.000343 0.763300 -0.001488
81.000000 2.381926 1.000351 0.760158 -0.001522
82.000000 2.417575 1.000359 0.757044 -0.001558
83.000000 2.453037 1.000367 0.753960 -0.001593
84.000000 2.488310 1.000375 0.750904 -0.001629
85.000000 2.523390 1.000384 0.747878 -0.001665
86.000000 2.558274 1.000392 0.744880 -0.001701
87.000000 2.592959 1.000400 0.741911 -0.001738
88.000000 2.627443 1.000409 0.738972 -0.001775
89.000000 2.661723 1.000418 0.736061 -0.001813
90.000000 2.695797 1.000426 0.733179 -0.001850
91.000000 2.729663 1.000435 0.730326 -0.001888
92.000000 2.763319 1.000444 0.727502 -0.001927
93.000000 2.796764 1.000453 0.724706 -0.001965
94.000000 2.829997 1.000462 0.721938 -0.002004
95.000000 2.863015 1.000471 0.719199 -0.002043
96.000000 2.895818 1.000480 0.716488 -0.002083
97.000000 2.928405 1.000489 0.713805 -0.002122
98.000000 2.960774 1.000498 0.711150 -0.002162
99.000000 2.992926 1.000507 0.708523 -0.002202
100.000000 3.024859 1.000517 0.705923 -0.002243
101.000000 3.056573 1.000526 0.703350 -0.002284
102.000000 3.088068 1.000536 0.700804 -0.002325
103.000000 3.119344 1.000545 0.698285 -0.002366
104.000000 3.150399 1.000555 0.695793 -0.002407
105.000000 3.181234 1.000564 0.693327 -0.002449
106.000000 3.211850 1.000574 0.690888 -0.002491
107.000000 3.242245 1.000584 0.688474 -0.002533
108.000000 3.272421 1.000593 0.686087 -0.002576
109.000000 3.302377 1.000603 0.683725 -0.002619
110.000000 3.332114 1.000613 0.681388 -0.002662
111.000000 3.361632 1.000623 0.679076 -0.002705
112.000000 3.390932 1.000633 0.676789 -0.002748
113.000000 3.420014 1.000643 0.674527 -0.002792
114.000000 3.448878 1.000653 0.672289 -0.002835
115.000000 3.477525 1.000663 0.670075 -0.002879
116.000000 3.505957 1.000673 0.667886 -0.002924
117.000000 3.534172 1.000684 0.665720 -0.002968
118.000000 3.562173 1.000694 0.663577 -0.003013
119.000000 3.589960 1.000704 0.661458 -0.003057
120.000000 3.617534 1.000715 0.659361 -0.003102
121.000000 3.644895 1.000725 0.657287 -0.003147
122.000000 3.672044 1.000735 0.655236 -0.003193
123.000000 3.698983 1.000746 0.653207 -0.003238
124.000000 3.725712 1.000756 0.651200 -0.003284
125.000000 3.752232 1.000767 0.649215 -0.003329
126.000000 3.778544 1.000778 0.647251 -0.003375
127.000000 3.804650 1.000788 0.645309 -0.003421
128.000000 3.830549 1.000799 0.643387 -0.003468
129.000000 3.856244 1.000810 0.641487 -0.003514
130.000000 3.881735 1.000820 0.639607 -0.003561
131.000000 3.907023 1.000831 0.637748 -0.003607
132.000000 3.932109 1.000842 0.635908 -0.003654
133.000000 3.956994 1.000853 0.634089 -0.003701
134.000000 3.981680 1.000863 0.632290 -0.003748
135.000000 4.006167 1.000874 0.630509 -0.003795
136.000000 4.030457 1.000885 0.628749 -0.003842
137.000000 4.054551 1.000896 0.627007 -0.003890
138.000000 4.078449 1.000907 0.625284 -0.003937
139.000000 4.102154 1.000918 0.623580 -0.003985
140.000000 4.125665 1.000929 0.621895 -0.004032
141.000000 4.148984 1.000940 0.620227 -0.004080
142.000000 4.172113 1.000951 0.618578 -0.004128
143.000000 4.195052 1.000962 0.616946 -0.004176
144.000000 4.217803 1.000973 0.615332 -0.004224
145.000000 4.240366 1.000984 0.613736 -0.004272
146.000000 4.262743 1.000995 0.612157 -0.004320
147.000000 4.284935 1.001006 0.610595 -0.004368
148.000000 4.306943 1.001018 0.609050 -0.004417
149.000000 4.328768 1.001029 0.607521 -0.004465
150.000000 4.350411 1.001040 0.606010 -0.004513
151.000000 4.371874 1.001051 0.604514 -0.004562
152.000000 4.393156 1.001062 0.603035 -0.004610
153.000000 4.414261 1.001073 0.601571 -0.004659
154.000000 4.435188 1.001085 0.600123 -0.004707
155.000000 4.455939 1.001096 0.598691 -0.004756
156.000000 4.476514 1.001107 0.597275 -0.004804
157.000000 4.496915 1.001118 0.595874 -0.004853
158.000000 4.517144 1.001129 0.594488 -0.004901
159.000000 4.537200 1.001140 0.593117 -0.004950
160.000000 4.557085 1.001152 0.591760 -0.004998
161.000000 4.576800 1.001163 0.590419 -0.005047
162.000000 4.596347 1.001174 0.589091 -0.005095
163.000000 4.615726 1.001185 0.587779 -0.005144
164.000000 4.634938 1.001196 0.586480 -0.005193
165.000000 4.653984 1.001208 0.585195 -0.005241
166.000000 4.672865 1.001219 0.583925 -0.005290
167.000000 4.691582 1.001230 0.582668 -0.005338
168.000000 4.710137 1.001241 0.581424 -0.005386
169.000000 4.728530 1.001252 0.580194 -0.005435
170.000000 4.746762 1.001263 0.578978 -0.005483
171.000000 4.764835 1.001275 0.577774 -0.005531
172.000000 4.782748 1.001286 0.576584 -0.005580
173.000000 4.800503 1.001297 0.575407 -0.005628
174.000000 4.818102 1.001308 0.574242 -0.005676
175.000000 4.835544 1.001319 0.573090 -0.005724
176.000000 4.852832 1.001330 0.571950 -0.005772
177.000000 4.869965 1.001341 0.570823 -0.005820
178.000000 4.886945 1.001352 0.569709 -0.005868
179.000000 4.903772 1.001363 0.568606 -0.005915
180.000000 4.920448 1.001374 0.567515 -0.005963
181.000000 4.936973 1.001385 0.566437 -0.006010
182.000000 4.953348 1.001396 0.565370 -0.006058
183.000000 4.969575 1.001407 0.564315 -0.006105
184.000000 4.985653 1.001418 0.563271 -0.006152
185.000000 5.001585 1.001429 0.562239 -0.006200
