# z LM (E,E) abs(P1) alpha
0.000000 0.002406 1.000000 0.999723 -0.000000
0.066667 0.009625 1.000001 0.998893 -0.000004
0.133333 0.021661 1.000003 0.997509 -0.000010
0.200000 0.038522 1.000004 0.995575 -0.000018
0.266667 0.060217 1.000007 0.993091 -0.000028
0.333333 0.086759 1.000010 0.990061 -0.000040
0.400000 0.118162 1.000013 0.986488 -0.000054
0.466667 0.154445 1.000017 0.982376 -0.000071
0.533333 0.195629 1.000021 0.977729 -0.000089
0.600000 0.241737 1.000026 0.972553 -0.000110
0.666667 0.292797 1.000031 0.966852 -0.000133
0.733333 0.348839 1.000037 0.960634 -0.000158
0.800000 0.409897 1.000043 0.953905 -0.000185
0.866667 0.476006 1.000050 0.946672 -0.000214
0.933333 0.547208 1.000057 0.938944 -0.000245
1.000000 0.623546 1.000064 0.930728 -0.000278
1.066667 0.705067 1.000073 0.922033 -0.000314
1.133333 0.791823 1.000081 0.912870 -0.000351
1.200000 0.883869 1.000090 0.903247 -0.000391
1.266667 0.981264 1.000100 0.893175 -0.000433
1.333333 1.084073 1.000110 0.882666 -0.000477
1.400000 1.192364 1.000121 0.871730 -0.000523
1.466667 1.306211 1.000132 0.860378 -0.000571
1.533333 1.425691 1.000143 0.848624 -0.000621
1.600000 1.550890 1.000155 0.836480 -0.000673
1.666667 1.681897 1.000168 0.823958 -0.000727
1.733333 1.818808 1.000181 0.811072 -0.000784
1.800000 1.961726 1.000194 0.797836 -0.000842
1.866667 2.110760 1.000208 0.784264 -0.000903
1.933333 2.266026 1.000223 0.770369 -0.000965
2.000000 2.427650 1.000237 0.756167 -0.001030
2.066667 2.595766 1.000253 0.741672 -0.001096
2.133333 2.770515 1.000269 0.726899 -0.001165
2.200000 2.952050 1.000285 0.711865 -0.001235
2.266667 3.140534 1.000302 0.696584 -0.001308
2.333333 3.336142 1.000319 0.681072 -0.001383
2.400000 3.539060 1.000336 0.665345 -0.001459
2.466667 3.749490 1.000355 0.649420 -0.001538
2.533333 3.967647 1.000373 0.633312 -0.001618
2.600000 4.193763 1.000392 0.617038 -0.001701
2.666667 4.428086 1.000412 0.600614 -0.001785
2.733333 4.670886 1.000431 0.584058 -0.001871
2.800000 4.922452 1.000452 0.567384 -0.001960
2.866667 5.183097 1.000472 0.550611 -0.002050
2.933333 5.453162 1.000494 0.533755 -0.002142
3.000000 5.733014 1.000515 0.516832 -0.002235
3.066667 6.023053 1.000537 0.499859 -0.002331
3.133333 6.323716 1.000560 0.482852 -0.002428
3.200000 6.635479 1.000582 0.465828 -0.002527
3.266667 6.958863 1.000606 0.448804 -0.002628
3.333333 7.294438 1.000629 0.431795 -0.002731
3.400000 7.642836 1.000653 0.414819 -0.002835
3.466667 8.004750 1.000678 0.397890 -0.002941
3.533333 8.380950 1.000703 0.381024 -0.003048
3.600000 8.772290 1.000728 0.364238 -0.003157
3.666667 9.179725 1.000753 0.347547 -0.003268
3.733333 9.604320 1.000779 0.330966 -0.003380
3.800000 10.047279 1.000805 0.314511 -0.003494
3.866667 10.509957 1.000832 0.298196 -0.003609
3.933333 10.993896 1.000859 0.282036 -0.003726
4.000000 11.500857 1.000886 0.266046 -0.003843
4.066667 12.032863 1.000913 0.250240 -0.003963
4.133333 12.592252 1.000941 0.234632 -0.004083
4.200000 13.181749 1.000969 0.219236 -0.004205
4.266667 13.804551 1.000997 0.204067 -0.004328
4.333333 14.464443 1.001026 0.189138 -0.004452
4.400000 15.165949 1.001055 0.174463 -0.004577
4.466667 15.914529 1.001084 0.160057 -0.004703
4.533333 16.716847 1.001113 0.145934 -0.004830
4.600000 17.581141 1.001143 0.132112 -0.004958
4.666667 18.517723 1.001172 0.118608 -0.005087
4.733333 19.539683 1.001202 0.105443 -0.005216
4.800000 20.663855 1.001232 0.092642 -0.005347
4.866667 21.912123 1.001262 0.080241 -0.005478
4.933333 23.312987 1.001293 0.068289 -0.005609
5.000000 24.902692 1.001323 0.056868 -0.005741
5.066667 26.722487 1.001354 0.046119 -0.005874
5.133333 28.797423 1.001384 0.036319 -0.006007
5.200000 31.040099 1.001415 0.028054 -0.006140
5.266667 32.943244 1.001446 0.022534 -0.006273
5.333333 33.387175 1.001477 0.021411 -0.006407
5.400000 32.100710 1.001508 0.024829 -0.006541
5.466667 30.177923 1.001538 0.030982 -0.006674
5.533333 28.335802 1.001569 0.038301 -0.006808
5.600000 26.743140 1.001600 0.046009 -0.006941
5.666667 25.392321 1.001631 0.053751 -0.007074
5.733333 24.243168 1.001661 0.061354 -0.007207
5.800000 23.257367 1.001692 0.068728 -0.007340
5.866667 22.404242 1.001722 0.075821 -0.007471
5.933333 21.660190 1.001752 0.082602 -0.007603
6.000000 21.007117 1.001783 0.089052 -0.007733
6.066667 20.431030 1.001812 0.095159 -0.007863
6.133333 19.920976 1.001842 0.100914 -0.007992
6.200000 19.468268 1.001872 0.106313 -0.008119
6.266667 19.065925 1.001901 0.111353 -0.008246
6.333333 18.708274 1.001930 0.116034 -0.008372
6.400000 18.390654 1.001959 0.120356 -0.008496
6.466667 18.109198 1.001987 0.124320 -0.008619
6.533333 17.860671 1.002015 0.127928 -0.008741
6.600000 17.642344 1.002043 0.131185 -0.008861
6.666667 17.451902 1.002070 0.134093 -0.008979
6.733333 17.287368 1.002097 0.136657 -0.009096
6.800000 17.147046 1.002123 0.138883 -0.009210
6.866667 17.029472 1.002149 0.140775 -0.009323
6.933333 16.933383 1.002175 0.142341 -0.009434
7.000000 16.857681 1.002200 0.143587 -0.009543
7.066667 16.801410 1.002225 0.144521 -0.009649
7.133333 16.763739 1.002249 0.145149 -0.009754
7.200000 16.743942 1.002272 0.145480 -0.009855
7.266667 16.741383 1.002295 0.145523 -0.009955
7.333333 16.755507 1.002318 0.145286 -0.010052
7.400000 16.785829 1.002339 0.144780 -0.010146
7.466667 16.831921 1.002360 0.144014 -0.010237
7.533333 16.893408 1.002381 0.142998 -0.010326
7.600000 16.969959 1.002401 0.141743 -0.010412
7.666667 17.061278 1.002420 0.140261 -0.010495
7.733333 17.167100 1.002438 0.138562 -0.010575
7.800000 17.287181 1.002456 0.136660 -0.010651
7.866667 17.421290 1.002473 0.134566 -0.010725
