# z LM (E,E) abs(P1) alpha
0.000000 0.000891 1.000000 0.999897 -0.000000
0.066667 0.003563 1.000000 0.999590 -0.000001
0.133333 0.008014 1.000001 0.999078 -0.000004
0.200000 0.014244 1.000002 0.998361 -0.000007
0.266667 0.022247 1.000003 0.997442 -0.000011
0.333333 0.032019 1.000004 0.996320 -0.000015
0.400000 0.043556 1.000005 0.994998 -0.000021
0.466667 0.056850 1.000006 0.993476 -0.000027
0.533333 0.071894 1.000008 0.991757 -0.000034
0.600000 0.088681 1.000010 0.989842 -0.000042
0.666667 0.107200 1.000012 0.987734 -0.000051
0.733333 0.127441 1.000014 0.985435 -0.000060
0.800000 0.149393 1.000016 0.982948 -0.000071
0.866667 0.173044 1.000019 0.980275 -0.000082
0.933333 0.198381 1.000022 0.977419 -0.000094
1.000000 0.225388 1.000025 0.974385 -0.000107
1.066667 0.254052 1.000028 0.971175 -0.000120
1.133333 0.284355 1.000031 0.967792 -0.000135
1.200000 0.316282 1.000035 0.964242 -0.000150
1.266667 0.349813 1.000038 0.960527 -0.000167
1.333333 0.384930 1.000042 0.956651 -0.000184
1.400000 0.421612 1.000047 0.952619 -0.000202
1.466667 0.459840 1.000051 0.948436 -0.000220
1.533333 0.499591 1.000055 0.944105 -0.000240
1.600000 0.540843 1.000060 0.939632 -0.000261
1.666667 0.583572 1.000065 0.935021 -0.000282
1.733333 0.627754 1.000070 0.930277 -0.000304
1.800000 0.673364 1.000076 0.925405 -0.000328
1.866667 0.720375 1.000081 0.920410 -0.000352
1.933333 0.768760 1.000087 0.915297 -0.000377
2.000000 0.818493 1.000093 0.910071 -0.000403
2.066667 0.869545 1.000099 0.904738 -0.000430
2.133333 0.921886 1.000105 0.899302 -0.000457
2.200000 0.975487 1.000112 0.893770 -0.000486
2.266667 1.030317 1.000119 0.888146 -0.000516
2.333333 1.086346 1.000126 0.882435 -0.000546
2.400000 1.143542 1.000133 0.876643 -0.000578
2.466667 1.201872 1.000141 0.870776 -0.000610
2.533333 1.261305 1.000148 0.864838 -0.000644
2.600000 1.321806 1.000156 0.858835 -0.000678
2.666667 1.383343 1.000165 0.852772 -0.000714
2.733333 1.445881 1.000173 0.846654 -0.000750
2.800000 1.509387 1.000182 0.840486 -0.000788
2.866667 1.573827 1.000190 0.834274 -0.000826
2.933333 1.639165 1.000199 0.828022 -0.000866
3.000000 1.705367 1.000209 0.821735 -0.000906
3.066667 1.772398 1.000218 0.815418 -0.000948
3.133333 1.840224 1.000228 0.809075 -0.000990
3.200000 1.908811 1.000238 0.802711 -0.001034
3.266667 1.978123 1.000249 0.796331 -0.001079
3.333333 2.048127 1.000259 0.789939 -0.001124
3.400000 2.118789 1.000270 0.783539 -0.001171
3.466667 2.190075 1.000281 0.777135 -0.001219
3.533333 2.261952 1.000292 0.770730 -0.001268
3.600000 2.334387 1.000304 0.764330 -0.001319
3.666667 2.407349 1.000316 0.757936 -0.001370
3.733333 2.480805 1.000328 0.751553 -0.001422
3.800000 2.554725 1.000340 0.745184 -0.001476
3.866667 2.629079 1.000353 0.738833 -0.001531
3.933333 2.703838 1.000366 0.732501 -0.001586
4.000000 2.778972 1.000379 0.726192 -0.001644
4.066667 2.854455 1.000392 0.719908 -0.001702
4.133333 2.930260 1.000406 0.713653 -0.001761
4.200000 3.006361 1.000420 0.707428 -0.001822
4.266667 3.082733 1.000434 0.701235 -0.001884
4.333333 3.159354 1.000448 0.695076 -0.001947
4.400000 3.236200 1.000463 0.688954 -0.002011
4.466667 3.313250 1.000478 0.682869 -0.002076
4.533333 3.390484 1.000494 0.676824 -0.002143
4.600000 3.467882 1.000509 0.670820 -0.002211
4.666667 3.545428 1.000525 0.664858 -0.002280
4.733333 3.623102 1.000542 0.658938 -0.002351
4.800000 3.700891 1.000558 0.653064 -0.002423
4.866667 3.778780 1.000575 0.647234 -0.002496
4.933333 3.856753 1.000592 0.641449 -0.002570
5.000000 3.934801 1.000609 0.635711 -0.002645
5.066667 4.012910 1.000627 0.630020 -0.002722
5.133333 4.091070 1.000645 0.624376 -0.002800
5.200000 4.169272 1.000663 0.618780 -0.002880
5.266667 4.247507 1.000682 0.613232 -0.002961
5.333333 4.325767 1.000701 0.607731 -0.003043
5.400000 4.404046 1.000720 0.602279 -0.003126
5.466667 4.482338 1.000740 0.596875 -0.003211
5.533333 4.560636 1.000759 0.591518 -0.003297
5.600000 4.638937 1.000780 0.586210 -0.003384
5.666667 4.717235 1.000800 0.580949 -0.003472
5.733333 4.795527 1.000821 0.575736 -0.003562
5.800000 4.873811 1.000842 0.570571 -0.003653
5.866667 4.952082 1.000863 0.565452 -0.003746
5.933333 5.030338 1.000885 0.560381 -0.003840
6.000000 5.108578 1.000907 0.555356 -0.003935
6.066667 5.186799 1.000929 0.550377 -0.004031
6.133333 5.264998 1.000951 0.545444 -0.004129
6.200000 5.343175 1.000974 0.540557 -0.004227
6.266667 5.421326 1.000997 0.535715 -0.004328
6.333333 5.499452 1.001020 0.530918 -0.004429
6.400000 5.577548 1.001044 0.526166 -0.004532
6.466667 5.655614 1.001068 0.521458 -0.004635
6.533333 5.733647 1.001092 0.516794 -0.004740
6.600000 5.811644 1.001117 0.512174 -0.004847
6.666667 5.889604 1.001142 0.507598 -0.004954
6.733333 5.967523 1.001167 0.503065 -0.005063
6.800000 6.045398 1.001192 0.498575 -0.005173
6.866667 6.123226 1.001217 0.494127 -0.005284
6.933333 6.201003 1.001243 0.489722 -0.005396
7.000000 6.278725 1.001269 0.485360 -0.005509
7.066667 6.356389 1.001296 0.481039 -0.005623
7.133333 6.433989 1.001322 0.476761 -0.005738
7.200000 6.511521 1.001349 0.472524 -0.005855
7.266667 6.588980 1.001376 0.468329 -0.005972
7.333333 6.666361 1.001403 0.464175 -0.006090
7.400000 6.743659 1.001431 0.460063 -0.006209
7.466667 6.820868 1.001459 0.455991 -0.006329
7.533333 6.897982 1.001487 0.451961 -0.006451
7.600000 6.974997 1.001515 0.447971 -0.006572
7.666667 7.051905 1.001543 0.444022 -0.006695
7.733333 7.128702 1.001571 0.440114 -0.006819
7.800000 7.205382 1.001600 0.436245 -0.006943
7.866667 7.281939 1.001629 0.432417 -0.007068
7.933333 7.358368 1.001658 0.428629 -0.007193
8.000000 7.434664 1.001687 0.424881 -0.007320
8.066667 7.510820 1.001716 0.421172 -0.007447
8.133333 7.586833 1.001746 0.417502 -0.007574
8.200000 7.662698 1.001775 0.413871 -0.007702
8.266667 7.738410 1.001805 0.410279 -0.007830
8.333333 7.813966 1.001834 0.406726 -0.007959
8.400000 7.889362 1.001864 0.403211 -0.008088
8.466667 7.964596 1.001894 0.399733 -0.008218
8.533333 8.039664 1.001924 0.396293 -0.008348
8.600000 8.114564 1.001954 0.392891 -0.008478
8.666667 8.189295 1.001984 0.389525 -0.008608
8.733333 8.263855 1.002014 0.386196 -0.008738
8.800000 8.338244 1.002044 0.382902 -0.008869
8.866667 8.412462 1.002074 0.379644 -0.008999
8.933333 8.486508 1.002105 0.376422 -0.009130
9.000000 8.560384 1.002135 0.373234 -0.009260
9.066667 8.634091 1.002165 0.370080 -0.009391
9.133333 8.707630 1.002195 0.366960 -0.009521
9.200000 8.781004 1.002225 0.363873 -0.009651
9.266667 8.854215 1.002255 0.360819 -0.009780
9.333333 8.927265 1.002285 0.357797 -0.009910
9.400000 9.000159 1.002314 0.354807 -0.010039
9.466667 9.072899 1.002344 0.351848 -0.010167
9.533333 9.145490 1.002373 0.348920 -0.010295
9.600000 9.217934 1.002403 0.346022 -0.010422
9.666667 9.290236 1.002432 0.343153 -0.010549
9.733333 9.362400 1.002461 0.340314 -0.010675
9.800000 9.434431 1.002490 0.337504 -0.010800
9.866667 9.506331 1.002519 0.334721 -0.010925
9.933333 9.578106 1.002547 0.331967 -0.011049
10.000000 9.649758 1.002576 0.329240 -0.011172
10.066667 9.721292 1.002604 0.326539 -0.011293
10.133333 9.792712 1.002632 0.323865 -0.011414
10.200000 9.864019 1.002659 0.321217 -0.011534
10.266667 9.935218 1.002687 0.318595 -0.011653
10.333333 10.006310 1.002714 0.315998 -0.011770
10.400000 10.077297 1.002741 0.313426 -0.011887
10.466667 10.148182 1.002767 0.310879 -0.012002
10.533333 10.218965 1.002794 0.308356 -0.012116
10.600000 10.289647 1.002820 0.305856 -0.012228
10.666667 10.360228 1.002845 0.303381 -0.012339
10.733333 10.430707 1.002871 0.300929 -0.012449
10.800000 10.501085 1.002896 0.298501 -0.012557
10.866667 10.571359 1.002920 0.296096 -0.012663
10.933333 10.641527 1.002944 0.293713 -0.012768
11.000000 10.711587 1.002968 0.291354 -0.012871
11.066667 10.781536 1.002992 0.289017 -0.012973
11.133333 10.851371 1.003015 0.286702 -0.013073
11.200000 10.921087 1.003037 0.284411 -0.013171
11.266667 10.990681 1.003060 0.282141 -0.013267
11.333333 11.060148 1.003082 0.279893 -0.013362
11.400000 11.129483 1.003103 0.277668 -0.013454
11.466667 11.198680 1.003124 0.275465 -0.013545
11.533333 11.267736 1.003144 0.273283 -0.013634
11.600000 11.336643 1.003164 0.271124 -0.013721
11.666667 11.405396 1.003184 0.268986 -0.013805
