# z LM (E,E) abs(P1) alpha
0.000000 0.000060 1.000000 0.999993 -0.000000
0.066667 0.000241 1.000000 0.999972 -0.000000
0.133333 0.000542 1.000000 0.999938 -0.000000
0.200000 0.000963 1.000000 0.999889 -0.000000
0.266667 0.001505 1.000000 0.999827 -0.000001
0.333333 0.002167 1.000000 0.999751 -0.000001
0.400000 0.002949 1.000000 0.999661 -0.000001
0.466667 0.003851 1.000000 0.999557 -0.000001
0.533333 0.004873 1.000000 0.999439 -0.000002
0.600000 0.006015 1.000001 0.999308 -0.000002
0.666667 0.007277 1.000001 0.999163 -0.000003
0.733333 0.008658 1.000001 0.999004 -0.000003
0.800000 0.010159 1.000001 0.998831 -0.000004
0.866667 0.011779 1.000001 0.998645 -0.000005
0.933333 0.013519 1.000001 0.998445 -0.000005
1.000000 0.015377 1.000001 0.998231 -0.000006
1.066667 0.017354 1.000002 0.998004 -0.000007
1.133333 0.019450 1.000002 0.997763 -0.000007
1.200000 0.021664 1.000002 0.997509 -0.000008
1.266667 0.023996 1.000002 0.997241 -0.000009
1.333333 0.026446 1.000002 0.996960 -0.000010
1.400000 0.029013 1.000003 0.996665 -0.000011
1.466667 0.031698 1.000003 0.996357 -0.000012
1.533333 0.034500 1.000003 0.996036 -0.000013
1.600000 0.037418 1.000003 0.995701 -0.000014
1.666667 0.040453 1.000004 0.995353 -0.000015
1.733333 0.043604 1.000004 0.994992 -0.000017
1.800000 0.046871 1.000004 0.994618 -0.000018
1.866667 0.050254 1.000004 0.994231 -0.000019
1.933333 0.053751 1.000005 0.993831 -0.000021
2.000000 0.057364 1.000005 0.993418 -0.000022
2.066667 0.061090 1.000005 0.992991 -0.000024
2.133333 0.064931 1.000006 0.992552 -0.000025
2.200000 0.068886 1.000006 0.992101 -0.000027
2.266667 0.072953 1.000006 0.991636 -0.000028
2.333333 0.077134 1.000007 0.991159 -0.000030
2.400000 0.081427 1.000007 0.990669 -0.000032
2.466667 0.085832 1.000008 0.990167 -0.000033
2.533333 0.090349 1.000008 0.989652 -0.000035
2.600000 0.094977 1.000009 0.989125 -0.000037
2.666667 0.099715 1.000009 0.988586 -0.000039
2.733333 0.104564 1.000009 0.988034 -0.000041
2.800000 0.109523 1.000010 0.987470 -0.000043
2.866667 0.114591 1.000010 0.986894 -0.000045
2.933333 0.119768 1.000011 0.986306 -0.000047
3.000000 0.125053 1.000011 0.985706 -0.000049
3.066667 0.130447 1.000012 0.985094 -0.000051
3.133333 0.135947 1.000012 0.984470 -0.000054
3.200000 0.141555 1.000013 0.983835 -0.000056
3.266667 0.147269 1.000013 0.983188 -0.000058
3.333333 0.153089 1.000014 0.982529 -0.000061
3.400000 0.159014 1.000015 0.981859 -0.000063
3.466667 0.165044 1.000015 0.981178 -0.000066
3.533333 0.171179 1.000016 0.980485 -0.000069
3.600000 0.177417 1.000016 0.979781 -0.000071
3.666667 0.183759 1.000017 0.979066 -0.000074
3.733333 0.190203 1.000018 0.978340 -0.000077
3.800000 0.196750 1.000018 0.977603 -0.000080
3.866667 0.203398 1.000019 0.976855 -0.000082
3.933333 0.210147 1.000020 0.976096 -0.000085
4.000000 0.216997 1.000020 0.975327 -0.000088
4.066667 0.223947 1.000021 0.974547 -0.000091
4.133333 0.230996 1.000022 0.973756 -0.000095
4.200000 0.238144 1.000023 0.972955 -0.000098
4.266667 0.245390 1.000023 0.972144 -0.000101
4.333333 0.252734 1.000024 0.971322 -0.000104
4.400000 0.260175 1.000025 0.970490 -0.000108
4.466667 0.267712 1.000026 0.969649 -0.000111
4.533333 0.275345 1.000026 0.968797 -0.000115
4.600000 0.283074 1.000027 0.967935 -0.000118
4.666667 0.290897 1.000028 0.967064 -0.000122
4.733333 0.298815 1.000029 0.966183 -0.000126
4.800000 0.306826 1.000030 0.965292 -0.000130
4.866667 0.314930 1.000031 0.964392 -0.000133
4.933333 0.323126 1.000032 0.963482 -0.000137
5.000000 0.331415 1.000033 0.962563 -0.000141
5.066667 0.339794 1.000034 0.961635 -0.000146
5.133333 0.348264 1.000034 0.960698 -0.000150
5.200000 0.356824 1.000035 0.959752 -0.000154
5.266667 0.365473 1.000036 0.958796 -0.000158
5.333333 0.374211 1.000037 0.957832 -0.000163
5.400000 0.383038 1.000038 0.956859 -0.000167
5.466667 0.391952 1.000040 0.955878 -0.000172
5.533333 0.400952 1.000041 0.954888 -0.000176
5.600000 0.410040 1.000042 0.953889 -0.000181
5.666667 0.419213 1.000043 0.952883 -0.000186
5.733333 0.428471 1.000044 0.951867 -0.000190
5.800000 0.437813 1.000045 0.950844 -0.000195
5.866667 0.447240 1.000046 0.949813 -0.000200
5.933333 0.456750 1.000047 0.948773 -0.000206
6.000000 0.466343 1.000049 0.947726 -0.000211
6.066667 0.476018 1.000050 0.946671 -0.000216
6.133333 0.485774 1.000051 0.945608 -0.000221
6.200000 0.495612 1.000052 0.944538 -0.000227
6.266667 0.505529 1.000053 0.943460 -0.000232
6.333333 0.515527 1.000055 0.942375 -0.000238
6.400000 0.525603 1.000056 0.941282 -0.000244
6.466667 0.535759 1.000057 0.940182 -0.000249
6.533333 0.545992 1.000059 0.939075 -0.000255
6.600000 0.556302 1.000060 0.937961 -0.000261
6.666667 0.566689 1.000062 0.936840 -0.000267
6.733333 0.577153 1.000063 0.935712 -0.000274
6.800000 0.587692 1.000064 0.934578 -0.000280
6.866667 0.598306 1.000066 0.933436 -0.000286
6.933333 0.608994 1.000067 0.932288 -0.000293
7.000000 0.619757 1.000069 0.931134 -0.000299
7.066667 0.630592 1.000071 0.929973 -0.000306
7.133333 0.641500 1.000072 0.928806 -0.000313
7.200000 0.652481 1.000074 0.927633 -0.000320
7.266667 0.663532 1.000075 0.926453 -0.000327
7.333333 0.674655 1.000077 0.925267 -0.000334
7.400000 0.685848 1.000079 0.924076 -0.000341
7.466667 0.697111 1.000080 0.922878 -0.000349
7.533333 0.708443 1.000082 0.921675 -0.000356
7.600000 0.719844 1.000084 0.920466 -0.000364
7.666667 0.731312 1.000086 0.919252 -0.000372
7.733333 0.742849 1.000087 0.918031 -0.000380
7.800000 0.754452 1.000089 0.916806 -0.000388
7.866667 0.766121 1.000091 0.915575 -0.000396
7.933333 0.777857 1.000093 0.914339 -0.000404
8.000000 0.789657 1.000095 0.913097 -0.000412
8.066667 0.801522 1.000097 0.911851 -0.000421
8.133333 0.813452 1.000099 0.910599 -0.000429
8.200000 0.825445 1.000101 0.909343 -0.000438
8.266667 0.837501 1.000103 0.908082 -0.000447
8.333333 0.849620 1.000105 0.906816 -0.000456
8.400000 0.861800 1.000107 0.905545 -0.000465
8.466667 0.874042 1.000109 0.904270 -0.000475
8.533333 0.886345 1.000111 0.902990 -0.000484
8.600000 0.898708 1.000114 0.901705 -0.000494
8.666667 0.911132 1.000116 0.900416 -0.000503
8.733333 0.923614 1.000118 0.899123 -0.000513
8.800000 0.936155 1.000121 0.897826 -0.000523
8.866667 0.948755 1.000123 0.896525 -0.000534
8.933333 0.961412 1.000125 0.895219 -0.000544
9.000000 0.974126 1.000128 0.893910 -0.000555
9.066667 0.986897 1.000130 0.892596 -0.000565
9.133333 0.999724 1.000133 0.891279 -0.000576
9.200000 1.012607 1.000135 0.889958 -0.000587
9.266667 1.025545 1.000138 0.888634 -0.000598
9.333333 1.038538 1.000140 0.887305 -0.000610
9.400000 1.051584 1.000143 0.885974 -0.000621
9.466667 1.064685 1.000146 0.884638 -0.000633
9.533333 1.077838 1.000149 0.883300 -0.000645
9.600000 1.091044 1.000151 0.881958 -0.000657
9.666667 1.104303 1.000154 0.880613 -0.000669
9.733333 1.117613 1.000157 0.879264 -0.000682
9.800000 1.130974 1.000160 0.877913 -0.000694
9.866667 1.144386 1.000163 0.876558 -0.000707
9.933333 1.157848 1.000166 0.875201 -0.000720
10.000000 1.171359 1.000169 0.873840 -0.000733
