# z LM (E,E) abs(P1) alpha
0.000000 0.000560 1.000000 0.999936 -0.000000
0.066667 0.002239 1.000001 0.999742 -0.000002
0.133333 0.005037 1.000001 0.999420 -0.000005
0.200000 0.008951 1.000002 0.998970 -0.000009
0.266667 0.013979 1.000004 0.998392 -0.000015
0.333333 0.020117 1.000005 0.997687 -0.000021
0.400000 0.027360 1.000007 0.996855 -0.000029
0.466667 0.035705 1.000009 0.995898 -0.000037
0.533333 0.045145 1.000011 0.994816 -0.000047
0.600000 0.055673 1.000014 0.993611 -0.000058
0.666667 0.067281 1.000016 0.992284 -0.000070
0.733333 0.079962 1.000019 0.990836 -0.000083
0.800000 0.093707 1.000023 0.989270 -0.000097
0.866667 0.108505 1.000026 0.987586 -0.000113
0.933333 0.124345 1.000030 0.985786 -0.000129
1.000000 0.141217 1.000034 0.983873 -0.000146
1.066667 0.159107 1.000038 0.981849 -0.000165
1.133333 0.178003 1.000043 0.979715 -0.000184
1.200000 0.197891 1.000047 0.977475 -0.000205
1.266667 0.218754 1.000052 0.975129 -0.000226
1.333333 0.240578 1.000058 0.972682 -0.000249
1.400000 0.263347 1.000063 0.970136 -0.000273
1.466667 0.287041 1.000069 0.967493 -0.000297
1.533333 0.311643 1.000074 0.964757 -0.000323
1.600000 0.337134 1.000081 0.961930 -0.000349
1.666667 0.363493 1.000087 0.959015 -0.000376
1.733333 0.390698 1.000093 0.956016 -0.000405
1.800000 0.418729 1.000100 0.952936 -0.000434
1.866667 0.447563 1.000107 0.949777 -0.000464
1.933333 0.477174 1.000114 0.946545 -0.000495
2.000000 0.507539 1.000121 0.943242 -0.000527
2.066667 0.538631 1.000129 0.939871 -0.000559
2.133333 0.570425 1.000137 0.936437 -0.000593
2.200000 0.602892 1.000145 0.932944 -0.000627
2.266667 0.636005 1.000153 0.929394 -0.000662
2.333333 0.669734 1.000161 0.925792 -0.000698
2.400000 0.704048 1.000169 0.922142 -0.000735
2.466667 0.738918 1.000178 0.918447 -0.000772
2.533333 0.774310 1.000187 0.914712 -0.000810
2.600000 0.810193 1.000196 0.910941 -0.000848
2.666667 0.846531 1.000205 0.907138 -0.000887
2.733333 0.883293 1.000214 0.903307 -0.000927
2.800000 0.920441 1.000223 0.899452 -0.000968
2.866667 0.957940 1.000232 0.895577 -0.001009
2.933333 0.995754 1.000242 0.891687 -0.001050
3.000000 1.033844 1.000252 0.887785 -0.001092
3.066667 1.072174 1.000261 0.883876 -0.001135
3.133333 1.110704 1.000271 0.879964 -0.001177
3.200000 1.149395 1.000281 0.876053 -0.001221
3.266667 1.188208 1.000291 0.872147 -0.001264
3.333333 1.227102 1.000302 0.868250 -0.001309
3.400000 1.266037 1.000312 0.864367 -0.001353
3.466667 1.304971 1.000322 0.860501 -0.001398
3.533333 1.343864 1.000332 0.856657 -0.001442
3.600000 1.382673 1.000343 0.852838 -0.001488
3.666667 1.421357 1.000353 0.849048 -0.001533
3.733333 1.459874 1.000364 0.845291 -0.001578
3.800000 1.498183 1.000374 0.841571 -0.001624
3.866667 1.536241 1.000385 0.837892 -0.001670
3.933333 1.574007 1.000395 0.834257 -0.001715
4.000000 1.611439 1.000406 0.830669 -0.001761
4.066667 1.648496 1.000416 0.827133 -0.001807
4.133333 1.685137 1.000427 0.823651 -0.001853
4.200000 1.721323 1.000437 0.820227 -0.001898
4.266667 1.757012 1.000448 0.816863 -0.001944
4.333333 1.792167 1.000458 0.813564 -0.001989
4.400000 1.826748 1.000469 0.810331 -0.002034
4.466667 1.860718 1.000479 0.807168 -0.002079
4.533333 1.894041 1.000489 0.804078 -0.002123
4.600000 1.926680 1.000499 0.801062 -0.002168
4.666667 1.958601 1.000510 0.798123 -0.002211
4.733333 1.989770 1.000520 0.795264 -0.002255
4.800000 2.020156 1.000529 0.792487 -0.002298
4.866667 2.049728 1.000539 0.789794 -0.002341
4.933333 2.078455 1.000549 0.787186 -0.002383
5.000000 2.106310 1.000559 0.784665 -0.002424
5.066667 2.133267 1.000568 0.782234 -0.002465
5.133333 2.159299 1.000577 0.779893 -0.002505
5.200000 2.184384 1.000586 0.777644 -0.002545
5.266667 2.208500 1.000595 0.775488 -0.002584
5.333333 2.231627 1.000604 0.773426 -0.002622
5.400000 2.253747 1.000613 0.771459 -0.002659
5.466667 2.274842 1.000621 0.769587 -0.002696
5.533333 2.294898 1.000629 0.767812 -0.002732
5.600000 2.313903 1.000637 0.766134 -0.002767
5.666667 2.331843 1.000645 0.764553 -0.002801
5.733333 2.348710 1.000653 0.763070 -0.002834
5.800000 2.364497 1.000660 0.761685 -0.002866
5.866667 2.379196 1.000667 0.760397 -0.002897
5.933333 2.392803 1.000674 0.759206 -0.002927
6.000000 2.405316 1.000681 0.758113 -0.002956
6.066667 2.416733 1.000687 0.757118 -0.002984
6.133333 2.427055 1.000694 0.756218 -0.003010
6.200000 2.436283 1.000699 0.755415 -0.003036
6.266667 2.444421 1.000705 0.754708 -0.003060
6.333333 2.451473 1.000710 0.754095 -0.003083
6.400000 2.457446 1.000715 0.753577 -0.003105
6.466667 2.462347 1.000720 0.753152 -0.003126
6.533333 2.466184 1.000725 0.752819 -0.003145
6.600000 2.468968 1.000729 0.752578 -0.003163
6.666667 2.470708 1.000733 0.752427 -0.003180
6.733333 2.471416 1.000736 0.752366 -0.003195
6.800000 2.471106 1.000739 0.752393 -0.003209
6.866667 2.469790 1.000742 0.752507 -0.003221
6.933333 2.467482 1.000745 0.752707 -0.003233
7.000000 2.464198 1.000747 0.752992 -0.003242
7.066667 2.459953 1.000749 0.753360 -0.003251
