# z LM (E,E) abs(P1) alpha
0.000000 0.001917 1.000000 0.999779 -0.000000
0.066667 0.007670 1.000001 0.999117 -0.000003
0.133333 0.017259 1.000002 0.998015 -0.000008
0.200000 0.030688 1.000004 0.996473 -0.000016
0.266667 0.047960 1.000006 0.994494 -0.000024
0.333333 0.069078 1.000008 0.992079 -0.000035
0.400000 0.094050 1.000011 0.989231 -0.000048
0.466667 0.122881 1.000015 0.985952 -0.000063
0.533333 0.155577 1.000019 0.982248 -0.000079
0.600000 0.192148 1.000023 0.978121 -0.000097
0.666667 0.232603 1.000027 0.973576 -0.000117
0.733333 0.276952 1.000032 0.968618 -0.000140
0.800000 0.325205 1.000038 0.963252 -0.000163
0.866667 0.377375 1.000044 0.957483 -0.000189
0.933333 0.433475 1.000050 0.951319 -0.000217
1.000000 0.493517 1.000057 0.944766 -0.000246
1.066667 0.557517 1.000064 0.937830 -0.000277
1.133333 0.625489 1.000072 0.930520 -0.000310
1.200000 0.697450 1.000080 0.922842 -0.000345
1.266667 0.773417 1.000088 0.914806 -0.000382
1.333333 0.853405 1.000097 0.906421 -0.000420
1.400000 0.937434 1.000106 0.897694 -0.000460
1.466667 1.025522 1.000116 0.888636 -0.000502
1.533333 1.117687 1.000126 0.879257 -0.000546
1.600000 1.213949 1.000137 0.869566 -0.000592
1.666667 1.314327 1.000147 0.859575 -0.000639
1.733333 1.418841 1.000159 0.849294 -0.000688
1.800000 1.527509 1.000170 0.838735 -0.000739
1.866667 1.640352 1.000182 0.827909 -0.000791
1.933333 1.757388 1.000195 0.816828 -0.000845
2.000000 1.878636 1.000208 0.805505 -0.000901
2.066667 2.004113 1.000221 0.793952 -0.000958
2.133333 2.133835 1.000234 0.782183 -0.001017
2.200000 2.267819 1.000248 0.770210 -0.001077
2.266667 2.406077 1.000263 0.758047 -0.001140
2.333333 2.548620 1.000277 0.745708 -0.001203
2.400000 2.695458 1.000292 0.733208 -0.001268
2.466667 2.846596 1.000308 0.720560 -0.001335
2.533333 3.002037 1.000324 0.707780 -0.001403
2.600000 3.161777 1.000340 0.694882 -0.001473
2.666667 3.325810 1.000356 0.681882 -0.001544
2.733333 3.494123 1.000373 0.668796 -0.001617
2.800000 3.666696 1.000390 0.655640 -0.001691
2.866667 3.843502 1.000407 0.642429 -0.001766
2.933333 4.024503 1.000425 0.629180 -0.001843
3.000000 4.209654 1.000443 0.615910 -0.001921
3.066667 4.398894 1.000461 0.602636 -0.002000
3.133333 4.592153 1.000480 0.589376 -0.002081
3.200000 4.789342 1.000498 0.576146 -0.002162
