# z LM (E,E) abs(P1) alpha
8.133333 18.611563 1.002830 0.117333 -0.012272
8.200000 18.877710 1.002857 0.113793 -0.012388
8.266667 19.149914 1.002883 0.110282 -0.012501
8.333333 19.427418 1.002908 0.106814 -0.012611
8.400000 19.709301 1.002933 0.103403 -0.012718
8.466667 19.994451 1.002957 0.100064 -0.012822
8.533333 20.281551 1.002980 0.096810 -0.012923
8.600000 20.569055 1.003003 0.093659 -0.013021
8.666667 20.855178 1.003025 0.090624 -0.013116
8.733333 21.137891 1.003046 0.087721 -0.013208
8.800000 21.414923 1.003067 0.084968 -0.013297
8.866667 21.683789 1.003086 0.082378 -0.013382
8.933333 21.941825 1.003105 0.079967 -0.013464
9.000000 22.186256 1.003123 0.077748 -0.013542
9.066667 22.414285 1.003141 0.075733 -0.013617
9.133333 22.623206 1.003157 0.073933 -0.013688
9.200000 22.810534 1.003173 0.072356 -0.013756
9.266667 22.974142 1.003188 0.071006 -0.013820
9.333333 23.112395 1.003201 0.069884 -0.013880
9.400000 23.224260 1.003215 0.068990 -0.013937
9.466667 23.309385 1.003227 0.068317 -0.013990
9.533333 23.368122 1.003238 0.067857 -0.014039
9.600000 23.401514 1.003249 0.067597 -0.014084
9.666667 23.411218 1.003258 0.067521 -0.014125
9.733333 23.399403 1.003267 0.067613 -0.014163
9.800000 23.368616 1.003275 0.067853 -0.014197
9.866667 23.321649 1.003281 0.068221 -0.014227
9.933333 23.261405 1.003287 0.068696 -0.014253
10.000000 23.190780 1.003293 0.069257 -0.014275
10.066667 23.112577 1.003297 0.069883 -0.014293
10.133333 23.029434 1.003300 0.070555 -0.014307
10.200000 22.943780 1.003303 0.071254 -0.014318
10.266667 22.857815 1.003304 0.071963 -0.014324
10.333333 22.773499 1.003305 0.072665 -0.014327
10.400000 22.692558 1.003305 0.073345 -0.014326
10.466667 22.616498 1.003303 0.073990 -0.014322
10.533333 22.546625 1.003302 0.074588 -0.014313
10.600000 22.484062 1.003299 0.075127 -0.014301
10.666667 22.429775 1.003295 0.075598 -0.014285
10.733333 22.384594 1.003291 0.075992 -0.014266
10.800000 22.349232 1.003285 0.076302 -0.014243
10.866667 22.324306 1.003279 0.076522 -0.014216
10.933333 22.310353 1.003272 0.076645 -0.014186
11.000000 22.307845 1.003264 0.076667 -0.014152
11.066667 22.317205 1.003256 0.076584 -0.014115
11.133333 22.338817 1.003247 0.076394 -0.014075
11.200000 22.373039 1.003236 0.076094 -0.014032
11.266667 22.420208 1.003226 0.075681 -0.013985
11.333333 22.480655 1.003214 0.075157 -0.013935
11.400000 22.554708 1.003202 0.074519 -0.013882
11.466667 22.642699 1.003189 0.073767 -0.013826
11.533333 22.744973 1.003175 0.072904 -0.013767
11.600000 22.861894 1.003161 0.071929 -0.013705
11.666667 22.993849 1.003146 0.070845 -0.013641
11.733333 23.141253 1.003131 0.069653 -0.013573
11.800000 23.304560 1.003114 0.068355 -0.013503
11.866667 23.484262 1.003098 0.066956 -0.013431
11.933333 23.680902 1.003080 0.065457 -0.013356
12.000000 23.895075 1.003062 0.063863 -0.013278
12.066667 24.127439 1.003044 0.062177 -0.013198
12.133333 24.378720 1.003025 0.060404 -0.013116
12.200000 24.649721 1.003006 0.058548 -0.013032
12.266667 24.941330 1.002986 0.056615 -0.012946
12.333333 25.254527 1.002965 0.054610 -0.012858
12.400000 25.590395 1.002944 0.052539 -0.012768
12.466667 25.950127 1.002923 0.050407 -0.012676
12.533333 26.335030 1.002902 0.048222 -0.012582
12.600000 26.746528 1.002880 0.045991 -0.012487
12.666667 27.186159 1.002857 0.043721 -0.012390
12.733333 27.655555 1.002835 0.041421 -0.012291
12.800000 28.156408 1.002811 0.039100 -0.012191
12.866667 28.690399 1.002788 0.036769 -0.012090
12.933333 29.259071 1.002764 0.034439 -0.011988
13.000000 29.863613 1.002741 0.032123 -0.011884
13.066667 30.504491 1.002716 0.029838 -0.011780
13.133333 31.180847 1.002692 0.027603 -0.011674
13.200000 31.889530 1.002667 0.025440 -0.011568
13.266667 32.623580 1.002643 0.023379 -0.011460
13.333333 33.370016 1.002618 0.021454 -0.011352
13.400000 34.106906 1.002593 0.019709 -0.011244
13.466667 34.800326 1.002567 0.018196 -0.011134
13.533333 35.403085 1.002542 0.016976 -0.011024
13.600000 35.858745 1.002516 0.016109 -0.010914
13.666667 36.114237 1.002491 0.015642 -0.010803
13.733333 36.138720 1.002465 0.015598 -0.010692
13.800000 35.937414 1.002440 0.015964 -0.010581
13.866667 35.549133 1.002414 0.016693 -0.010469
13.933333 35.029668 1.002388 0.017722 -0.010357
14.000000 34.433853 1.002362 0.018980 -0.010246
14.066667 33.805415 1.002336 0.020405 -0.010134
14.133333 33.174815 1.002311 0.021941 -0.010022
14.200000 32.561285 1.002285 0.023547 -0.009911
14.266667 31.975964 1.002259 0.025188 -0.009799
14.333333 31.424651 1.002234 0.026839 -0.009688
14.400000 30.909819 1.002208 0.028478 -0.009577
14.466667 30.431960 1.002183 0.030089 -0.009467
14.533333 29.990438 1.002157 0.031658 -0.009357
14.600000 29.584022 1.002132 0.033174 -0.009247
14.666667 29.211203 1.002107 0.034629 -0.009138
