# z LM (E,E) abs(P1) alpha
0.000000 0.000999 1.000000 0.999885 -0.000000
0.066667 0.003996 1.000001 0.999540 -0.000002
0.133333 0.008990 1.000002 0.998965 -0.000006
0.200000 0.015979 1.000003 0.998162 -0.000011
0.266667 0.024958 1.000004 0.997131 -0.000018
0.333333 0.035924 1.000006 0.995873 -0.000026
0.400000 0.048872 1.000008 0.994389 -0.000035
0.466667 0.063795 1.000011 0.992682 -0.000046
0.533333 0.080685 1.000013 0.990754 -0.000058
0.600000 0.099535 1.000017 0.988606 -0.000071
0.666667 0.120335 1.000020 0.986241 -0.000086
0.733333 0.143074 1.000024 0.983663 -0.000102
0.800000 0.167741 1.000028 0.980873 -0.000119
0.866667 0.194323 1.000032 0.977876 -0.000137
0.933333 0.222806 1.000036 0.974675 -0.000157
1.000000 0.253174 1.000041 0.971273 -0.000179
1.066667 0.285412 1.000047 0.967675 -0.000201
1.133333 0.319501 1.000052 0.963884 -0.000225
1.200000 0.355423 1.000058 0.959906 -0.000250
1.266667 0.393156 1.000064 0.955745 -0.000277
1.333333 0.432678 1.000070 0.951406 -0.000304
1.400000 0.473967 1.000077 0.946895 -0.000333
1.466667 0.516997 1.000084 0.942215 -0.000363
1.533333 0.561741 1.000091 0.937374 -0.000395
1.600000 0.608171 1.000099 0.932377 -0.000427
1.666667 0.656256 1.000106 0.927229 -0.000461
1.733333 0.705965 1.000114 0.921938 -0.000496
1.800000 0.757264 1.000123 0.916509 -0.000532
1.866667 0.810118 1.000131 0.910949 -0.000569
1.933333 0.864487 1.000140 0.905265 -0.000607
2.000000 0.920333 1.000149 0.899463 -0.000647
2.066667 0.977614 1.000158 0.893551 -0.000687
2.133333 1.036285 1.000168 0.887536 -0.000729
2.200000 1.096300 1.000178 0.881424 -0.000771
2.266667 1.157610 1.000188 0.875225 -0.000815
2.333333 1.220164 1.000198 0.868944 -0.000859
2.400000 1.283909 1.000209 0.862590 -0.000905
2.466667 1.348789 1.000219 0.856171 -0.000951
2.533333 1.414744 1.000230 0.849694 -0.000999
2.600000 1.481714 1.000241 0.843168 -0.001047
2.666667 1.549636 1.000253 0.836601 -0.001096
2.733333 1.618443 1.000264 0.830000 -0.001146
2.800000 1.688066 1.000276 0.823373 -0.001197
2.866667 1.758433 1.000288 0.816730 -0.001249
2.933333 1.829471 1.000300 0.810077 -0.001301
3.000000 1.901103 1.000312 0.803424 -0.001354
3.066667 1.973250 1.000325 0.796778 -0.001408
3.133333 2.045829 1.000337 0.790148 -0.001463
3.200000 2.118757 1.000350 0.783542 -0.001518
3.266667 2.191947 1.000363 0.776967 -0.001573
3.333333 2.265312 1.000376 0.770432 -0.001630
3.400000 2.338759 1.000389 0.763945 -0.001686
3.466667 2.412197 1.000402 0.757513 -0.001743
3.533333 2.485531 1.000415 0.751144 -0.001801
3.600000 2.558666 1.000428 0.744846 -0.001859
3.666667 2.631505 1.000442 0.738626 -0.001918
3.733333 2.703949 1.000455 0.732491 -0.001977
3.800000 2.775900 1.000469 0.726449 -0.002036
3.866667 2.847258 1.000483 0.720505 -0.002095
3.933333 2.917925 1.000496 0.714667 -0.002155
4.000000 2.987801 1.000510 0.708941 -0.002214
4.066667 3.056788 1.000524 0.703332 -0.002274
4.133333 3.124789 1.000538 0.697848 -0.002334
4.200000 3.191707 1.000552 0.692492 -0.002394
4.266667 3.257449 1.000566 0.687270 -0.002454
4.333333 3.321922 1.000579 0.682188 -0.002514
4.400000 3.385038 1.000593 0.677249 -0.002574
4.466667 3.446709 1.000607 0.672457 -0.002634
4.533333 3.506854 1.000621 0.667817 -0.002694
4.600000 3.565395 1.000634 0.663331 -0.002753
4.666667 3.622255 1.000648 0.659003 -0.002812
4.733333 3.677367 1.000661 0.654835 -0.002871
4.800000 3.730666 1.000675 0.650829 -0.002929
4.866667 3.782092 1.000688 0.646987 -0.002987
4.933333 3.831592 1.000702 0.643310 -0.003045
5.000000 3.879118 1.000715 0.639800 -0.003102
5.066667 3.924630 1.000728 0.636456 -0.003158
5.133333 3.968093 1.000740 0.633279 -0.003214
5.200000 4.009478 1.000753 0.630269 -0.003269
5.266667 4.048763 1.000766 0.627425 -0.003323
5.333333 4.085932 1.000778 0.624746 -0.003377
5.400000 4.120978 1.000790 0.622230 -0.003430
5.466667 4.153897 1.000802 0.619876 -0.003482
5.533333 4.184694 1.000814 0.617683 -0.003533
5.600000 4.213378 1.000826 0.615646 -0.003583
5.666667 4.239966 1.000837 0.613764 -0.003632
5.733333 4.264479 1.000848 0.612035 -0.003681
5.800000 4.286944 1.000859 0.610454 -0.003728
5.866667 4.307393 1.000870 0.609018 -0.003774
5.933333 4.325863 1.000880 0.607725 -0.003818
6.000000 4.342394 1.000890 0.606569 -0.003862
6.066667 4.357031 1.000900 0.605548 -0.003904
6.133333 4.369822 1.000909 0.604657 -0.003945
6.200000 4.380818 1.000918 0.603892 -0.003985
6.266667 4.390073 1.000927 0.603249 -0.004023
6.333333 4.397643 1.000936 0.602723 -0.004060
6.400000 4.403584 1.000944 0.602311 -0.004095
6.466667 4.407955 1.000952 0.602008 -0.004129
6.533333 4.410816 1.000959 0.601810 -0.004162
6.600000 4.412227 1.000966 0.601712 -0.004193
6.666667 4.412248 1.000973 0.601710 -0.004222
6.733333 4.410939 1.000979 0.601801 -0.004249
6.800000 4.408358 1.000985 0.601980 -0.004275
6.866667 4.404565 1.000991 0.602243 -0.004299
6.933333 4.399616 1.000996 0.602586 -0.004322
7.000000 4.393567 1.001001 0.603006 -0.004343
7.066667 4.386473 1.001005 0.603499 -0.004362
7.133333 4.378386 1.001009 0.604061 -0.004379
7.200000 4.369356 1.001013 0.604689 -0.004394
7.266667 4.359432 1.001016 0.605380 -0.004408
7.333333 4.348660 1.001018 0.606132 -0.004420
7.400000 4.337084 1.001021 0.606940 -0.004429
7.466667 4.324745 1.001023 0.607803 -0.004437
7.533333 4.311683 1.001024 0.608718 -0.004444
7.600000 4.297934 1.001025 0.609682 -0.004448
7.666667 4.283534 1.001025 0.610694 -0.004450
7.733333 4.268513 1.001026 0.611751 -0.004451
7.800000 4.252901 1.001025 0.612851 -0.004449
7.866667 4.236726 1.001024 0.613993 -0.004446
7.933333 4.220013 1.001023 0.615176 -0.004441
8.000000 4.202785 1.001022 0.616397 -0.004433
8.066667 4.185062 1.001019 0.617656 -0.004424
8.133333 4.166864 1.001017 0.618952 -0.004413
8.200000 4.148207 1.001014 0.620283 -0.004401
8.266667 4.129107 1.001011 0.621648 -0.004386
8.333333 4.109577 1.001007 0.623047 -0.004369
8.400000 4.089630 1.001003 0.624480 -0.004351
8.466667 4.069277 1.000998 0.625945 -0.004331
8.533333 4.048526 1.000993 0.627442 -0.004309
8.600000 4.027386 1.000987 0.628971 -0.004285
8.666667 4.005865 1.000982 0.630531 -0.004260
8.733333 3.983969 1.000975 0.632123 -0.004232
8.800000 3.961703 1.000969 0.633745 -0.004203
8.866667 3.939074 1.000962 0.635399 -0.004173
8.933333 3.916085 1.000954 0.637083 -0.004141
9.000000 3.892741 1.000946 0.638797 -0.004107
9.066667 3.869046 1.000938 0.640542 -0.004072
9.133333 3.845005 1.000930 0.642318 -0.004035
9.200000 3.820620 1.000921 0.644123 -0.003996
9.266667 3.795897 1.000912 0.645959 -0.003957
9.333333 3.770839 1.000902 0.647826 -0.003915
9.400000 3.745451 1.000892 0.649722 -0.003873
9.466667 3.719737 1.000882 0.651648 -0.003829
9.533333 3.693704 1.000872 0.653604 -0.003784
9.600000 3.667357 1.000861 0.655590 -0.003738
9.666667 3.640702 1.000850 0.657605 -0.003690
9.733333 3.613747 1.000839 0.659649 -0.003642
9.800000 3.586499 1.000828 0.661721 -0.003592
9.866667 3.558967 1.000816 0.663822 -0.003541
9.933333 3.531160 1.000804 0.665951 -0.003489
10.000000 3.503088 1.000792 0.668106 -0.003437
10.066667 3.474761 1.000780 0.670289 -0.003384
10.133333 3.446193 1.000767 0.672497 -0.003329
10.200000 3.417394 1.000754 0.674730 -0.003274
10.266667 3.388379 1.000742 0.676988 -0.003219
10.333333 3.359161 1.000729 0.679269 -0.003163
10.400000 3.329756 1.000716 0.681573 -0.003106
10.466667 3.300180 1.000702 0.683898 -0.003048
10.533333 3.270448 1.000689 0.686242 -0.002991
10.600000 3.240579 1.000676 0.688606 -0.002932
10.666667 3.210590 1.000662 0.690988 -0.002874
10.733333 3.180500 1.000649 0.693386 -0.002815
10.800000 3.150330 1.000635 0.695799 -0.002756
10.866667 3.120098 1.000621 0.698225 -0.002697
10.933333 3.089825 1.000608 0.700662 -0.002637
11.000000 3.059534 1.000594 0.703110 -0.002578
11.066667 3.029244 1.000580 0.705566 -0.002519
11.133333 2.998980 1.000567 0.708029 -0.002459
11.200000 2.968762 1.000553 0.710496 -0.002400
11.266667 2.938615 1.000539 0.712967 -0.002341
11.333333 2.908561 1.000526 0.715438 -0.002282
11.400000 2.878624 1.000512 0.717908 -0.002224
11.466667 2.848827 1.000499 0.720375 -0.002165
