# z LM (E,E) abs(P1) alpha
0.000000 0.001514 1.000000 0.999826 -0.000000
0.066667 0.006054 1.000001 0.999303 -0.000002
0.133333 0.013621 1.000002 0.998433 -0.000006
0.200000 0.024212 1.000003 0.997216 -0.000011
0.266667 0.037823 1.000004 0.995655 -0.000017
0.333333 0.054450 1.000006 0.993751 -0.000025
0.400000 0.074090 1.000008 0.991506 -0.000034
0.466667 0.096734 1.000011 0.988925 -0.000045
0.533333 0.122378 1.000013 0.986010 -0.000056
0.600000 0.151012 1.000016 0.982764 -0.000069
0.666667 0.182628 1.000020 0.979194 -0.000084
0.733333 0.217215 1.000023 0.975302 -0.000100
0.800000 0.254763 1.000027 0.971095 -0.000117
0.866667 0.295259 1.000031 0.966578 -0.000135
0.933333 0.338690 1.000036 0.961757 -0.000155
1.000000 0.385041 1.000041 0.956639 -0.000177
1.066667 0.434297 1.000046 0.951229 -0.000199
1.133333 0.486438 1.000052 0.945536 -0.000223
1.200000 0.541448 1.000058 0.939567 -0.000249
1.266667 0.599306 1.000064 0.933329 -0.000276
1.333333 0.659989 1.000070 0.926831 -0.000304
1.400000 0.723475 1.000077 0.920081 -0.000334
1.466667 0.789739 1.000084 0.913089 -0.000365
1.533333 0.858753 1.000092 0.905863 -0.000397
1.600000 0.930490 1.000099 0.898412 -0.000431
1.666667 1.004919 1.000108 0.890746 -0.000466
1.733333 1.082007 1.000116 0.882876 -0.000503
1.800000 1.161720 1.000125 0.874810 -0.000541
1.866667 1.244022 1.000134 0.866561 -0.000581
1.933333 1.328874 1.000143 0.858136 -0.000622
2.000000 1.416233 1.000153 0.849549 -0.000665
2.066667 1.506058 1.000163 0.840808 -0.000709
2.133333 1.598303 1.000174 0.831926 -0.000754
2.200000 1.692918 1.000185 0.822913 -0.000801
2.266667 1.789853 1.000196 0.813781 -0.000850
2.333333 1.889054 1.000207 0.804539 -0.000900
2.400000 1.990465 1.000219 0.795201 -0.000951
2.466667 2.094027 1.000232 0.785776 -0.001004
2.533333 2.199678 1.000244 0.776276 -0.001059
2.600000 2.307352 1.000257 0.766712 -0.001115
2.666667 2.416983 1.000270 0.757096 -0.001173
2.733333 2.528500 1.000284 0.747438 -0.001232
2.800000 2.641829 1.000298 0.737749 -0.001293
2.866667 2.756895 1.000312 0.728040 -0.001355
2.933333 2.873618 1.000327 0.718322 -0.001419
3.000000 2.991916 1.000342 0.708605 -0.001484
3.066667 3.111706 1.000357 0.698899 -0.001551
3.133333 3.232899 1.000373 0.689215 -0.001620
3.200000 3.355407 1.000389 0.679563 -0.001690
3.266667 3.479139 1.000406 0.669951 -0.001762
3.333333 3.603999 1.000423 0.660389 -0.001836
3.400000 3.729894 1.000440 0.650887 -0.001911
3.466667 3.856725 1.000458 0.641451 -0.001987
3.533333 3.984394 1.000476 0.632092 -0.002066
3.600000 4.112802 1.000494 0.622816 -0.002146
3.666667 4.241848 1.000513 0.613631 -0.002227
3.733333 4.371433 1.000532 0.604545 -0.002311
3.800000 4.501455 1.000552 0.595562 -0.002396
3.866667 4.631816 1.000572 0.586691 -0.002482
3.933333 4.762416 1.000592 0.577935 -0.002570
4.000000 4.893158 1.000613 0.569301 -0.002660
4.066667 5.023947 1.000634 0.560793 -0.002752
4.133333 5.154690 1.000656 0.552415 -0.002845
4.200000 5.285298 1.000677 0.544171 -0.002940
4.266667 5.415683 1.000700 0.536063 -0.003036
4.333333 5.545764 1.000722 0.528095 -0.003134
4.400000 5.675463 1.000745 0.520268 -0.003234
4.466667 5.804707 1.000769 0.512584 -0.003336
4.533333 5.933429 1.000792 0.505043 -0.003439
4.600000 6.061567 1.000816 0.497647 -0.003543
4.666667 6.189066 1.000841 0.490396 -0.003650
4.733333 6.315877 1.000866 0.483288 -0.003758
4.800000 6.441959 1.000891 0.476324 -0.003867
4.866667 6.567277 1.000917 0.469501 -0.003979
4.933333 6.691804 1.000943 0.462818 -0.004091
5.000000 6.815519 1.000969 0.456272 -0.004206
5.066667 6.938411 1.000996 0.449862 -0.004322
5.133333 7.060474 1.001023 0.443584 -0.004439
5.200000 7.181711 1.001050 0.437436 -0.004558
5.266667 7.302130 1.001078 0.431413 -0.004679
5.333333 7.421747 1.001106 0.425513 -0.004801
5.400000 7.540586 1.001135 0.419731 -0.004924
5.466667 7.658675 1.001163 0.414063 -0.005049
5.533333 7.776049 1.001193 0.408505 -0.005175
5.600000 7.892747 1.001222 0.403053 -0.005303
5.666667 8.008813 1.001252 0.397703 -0.005432
5.733333 8.124296 1.001282 0.392451 -0.005563
5.800000 8.239249 1.001312 0.387291 -0.005694
5.866667 8.353725 1.001343 0.382220 -0.005827
5.933333 8.467781 1.001374 0.377234 -0.005962
6.000000 8.581477 1.001405 0.372328 -0.006097
6.066667 8.694871 1.001437 0.367499 -0.006234
6.133333 8.808023 1.001468 0.362743 -0.006372
6.200000 8.920991 1.001501 0.358056 -0.006511
6.266667 9.033834 1.001533 0.353434 -0.006651
6.333333 9.146607 1.001565 0.348875 -0.006792
6.400000 9.259363 1.001598 0.344375 -0.006934
6.466667 9.372154 1.001631 0.339932 -0.007077
6.533333 9.485025 1.001664 0.335543 -0.007220
6.600000 9.598019 1.001698 0.331207 -0.007365
6.666667 9.711176 1.001731 0.326920 -0.007510
6.733333 9.824527 1.001765 0.322681 -0.007656
6.800000 9.938101 1.001799 0.318489 -0.007803
6.866667 10.051919 1.001833 0.314343 -0.007950
6.933333 10.165998 1.001867 0.310242 -0.008098
7.000000 10.280348 1.001901 0.306184 -0.008246
7.066667 10.394971 1.001935 0.302170 -0.008395
7.133333 10.509864 1.001970 0.298199 -0.008544
7.200000 10.625018 1.002004 0.294272 -0.008693
7.266667 10.740415 1.002038 0.290388 -0.008843
7.333333 10.856032 1.002073 0.286549 -0.008993
7.400000 10.971839 1.002108 0.282754 -0.009142
7.466667 11.087800 1.002142 0.279004 -0.009292
7.533333 11.203871 1.002177 0.275300 -0.009442
7.600000 11.320005 1.002211 0.271644 -0.009591
7.666667 11.436147 1.002246 0.268036 -0.009741
7.733333 11.552238 1.002280 0.264477 -0.009890
7.800000 11.668215 1.002314 0.260969 -0.010038
7.866667 11.784009 1.002349 0.257513 -0.010187
7.933333 11.899549 1.002383 0.254110 -0.010334
8.000000 12.014761 1.002417 0.250762 -0.010481
8.066667 12.129570 1.002450 0.247469 -0.010628
8.133333 12.243896 1.002484 0.244233 -0.010773
8.200000 12.357663 1.002517 0.241055 -0.010918
8.266667 12.470793 1.002551 0.237936 -0.011062
8.333333 12.583211 1.002584 0.234876 -0.011205
8.400000 12.694841 1.002616 0.231877 -0.011347
8.466667 12.805614 1.002649 0.228939 -0.011487
8.533333 12.915462 1.002681 0.226062 -0.011626
8.600000 13.024324 1.002713 0.223246 -0.011765
8.666667 13.132145 1.002744 0.220492 -0.011901
8.733333 13.238874 1.002776 0.217799 -0.012036
8.800000 13.344470 1.002806 0.215167 -0.012170
8.866667 13.448900 1.002837 0.212596 -0.012302
8.933333 13.552137 1.002867 0.210084 -0.012432
9.000000 13.654167 1.002897 0.207631 -0.012560
9.066667 13.754983 1.002926 0.205235 -0.012687
9.133333 13.854588 1.002955 0.202895 -0.012812
9.200000 13.952996 1.002983 0.200609 -0.012934
9.266667 14.050231 1.003011 0.198376 -0.013055
9.333333 14.146326 1.003038 0.196193 -0.013173
9.400000 14.241324 1.003065 0.194059 -0.013289
9.466667 14.335278 1.003091 0.191971 -0.013403
9.533333 14.428251 1.003117 0.189927 -0.013515
9.600000 14.520311 1.003142 0.187925 -0.013624
9.666667 14.611537 1.003167 0.185962 -0.013730
9.733333 14.702013 1.003191 0.184035 -0.013834
9.800000 14.791830 1.003214 0.182141 -0.013936
9.866667 14.881084 1.003237 0.180279 -0.014035
9.933333 14.969875 1.003259 0.178446 -0.014131
10.000000 15.058306 1.003281 0.176638 -0.014224
10.066667 15.146484 1.003302 0.174854 -0.014315
10.133333 15.234513 1.003322 0.173091 -0.014403
10.200000 15.322503 1.003342 0.171346 -0.014488
10.266667 15.410557 1.003361 0.169618 -0.014569
10.333333 15.498780 1.003379 0.167904 -0.014649
10.400000 15.587272 1.003396 0.166202 -0.014725
10.466667 15.676130 1.003413 0.164510 -0.014797
10.533333 15.765447 1.003429 0.162827 -0.014867
10.600000 15.855307 1.003445 0.161152 -0.014934
10.666667 15.945790 1.003460 0.159482 -0.014998
10.733333 16.036968 1.003474 0.157816 -0.015059
10.800000 16.128904 1.003487 0.156155 -0.015116
10.866667 16.221653 1.003499 0.154496 -0.015170
10.933333 16.315260 1.003511 0.152840 -0.015222
11.000000 16.409759 1.003522 0.151186 -0.015269
11.066667 16.505174 1.003533 0.149534 -0.015314
11.133333 16.601520 1.003542 0.147885 -0.015356
11.200000 16.698796 1.003551 0.146238 -0.015394
11.266667 16.796992 1.003559 0.144594 -0.015429
11.333333 16.896086 1.003567 0.142954 -0.015461
11.400000 16.996043 1.003573 0.141318 -0.015490
11.466667 17.096816 1.003579 0.139688 -0.015516
11.533333 17.198345 1.003584 0.138065 -0.015538
11.600000 17.300560 1.003589 0.136450 -0.015557
11.666667 17.403375 1.003593 0.134844 -0.015573
11.733333 17.506696 1.003596 0.133249 -0.015586
11.800000 17.610416 1.003598 0.131668 -0.015596
11.866667 17.714419 1.003599 0.130101 -0.015603
11.933333 17.818578 1.003600 0.128550 -0.015607
12.000000 17.922757 1.003601 0.127017 -0.015608
12.066667 18.026812 1.003600 0.125505 -0.015605
12.133333 18.130595 1.003599 0.124014 -0.015600
12.200000 18.233948 1.003597 0.122547 -0.015592
12.266667 18.336713 1.003594 0.121106 -0.015581
12.333333 18.438728 1.003591 0.119692 -0.015567
12.400000 18.539833 1.003587 0.118306 -0.015550
